P52824	A0A0B4KHZ4
P49916	Q9VG84
O14530	Q9VGV8
Q6PHR2	Q9VHF6
Q96H96	Q9VHS7
Q8NEM2	Q9VIP0
Q96EB6	Q9VK34
Q9NXH9	Q9VK89
Q9NYP3	Q9VNA8
Q8IYS2	Q9VQ60
Q96EC8	Q9VQZ0
O14662	Q9VR90
O75448	Q9VSF2
Q8IUH3	Q9VZE4
Q9UIF3	Q9W1V2
Q96BT7	Q9W232
Q13503	Q9W5P1
Q96MB7	M9NGE9
Q15370	O44226
O43766	Q7JQW6
Q9UJW0	Q7K130
Q8N465	Q7K511
P63279	Q7KNM2
Q9UBE0	Q7KSM5
Q9Y4A5	Q8I8U7
Q9NWZ5	Q8MQK4
Q6FI81	Q9V3Y2
A0A1B0GV85	Q9V3Y3
P50748	Q9V9W7
Q96KG9	Q9VAH7
Q6IQ49	Q9VCE2
P78312	Q9VG05
Q5T440	Q9VHN4
P49915	Q9VIE7
Q8N4V1	Q9VJ25
Q9H9Y2	Q9VKB4
Q8IYA7	Q9VPL4
Q9Y5U2	Q9VT74
Q96NB2	Q9VVW3
Q9H8M7	Q9VWN5
Q5C9Z4	Q9W020
Q9NVM4	Q9W1V1
Q13111	Q9W3D1
Q99426	A1ZBM2
P0CG48	P0CG69
Q13416	Q24168
Q15024	Q29QQ9
Q86VZ6	Q9V9Z6
Q9NWW7	Q9VAL2
Q9BZB8	Q9VCN7
Q9HAC7	Q9VDL4
Q9BVL2	Q9VDV3
O15514	Q9VEA5
Q5XPI4	Q9VFC4
P30043	Q9VH72
Q8NEW7	Q9VIM4
P42695	Q9VMQ4
A6NK58	Q9VN27
Q9HAV4	Q9VWE7
Q96LW2	Q9VWQ2
Q96NG3	Q9W295
P51955	Q9W3N8
Q96AX1	Q9Y1I2
Q9HCS7	A1Z9G2
Q8IXW5	A8DYY5
Q7Z5L2	E1JIB4
Q92896	M9PIG4
P61218	Q24320
O43462	Q7JZ56
Q9NVU7	Q7KKH3
P14324	Q7KN61
Q4G176	Q7KVU5
Q96RQ3	Q9V9T5
Q96C90	Q9VKQ5
O60547	Q9VMW9
Q9Y3A5	Q9VRY5
Q9Y6A1	Q9VTK2
Q9Y266	Q9VVA6
P17568	Q9VXZ0
Q9NWH2	Q9VYX5
Q5XKL5	Q9W0D3
Q8N201	Q9W1C5
O75390	Q9W401
Q14872	A8JNP3
Q8N3R9	E2QD98
Q969G6	O76206
Q9NW08	P25167
P09132	P49963
Q9UHR6	Q7KSA2
Q9NZ42	Q86BE9
Q8NE86	Q8IQ70
P06132	Q9V595
O95872	Q9V7A7
Q99848	Q9V9Z9
Q9Y224	Q9VEG8
Q15435	Q9VEK8
Q86XA0	Q9VEZ4
Q8TBK6	Q9VF05
Q9NX38	Q9VFR1
Q9NQR4	Q9VHE4
Q6NW29	Q9VJ60
Q14197	Q9VKU3
Q6PJP8	Q9VND2
P61916	Q9VQ62
P49458	Q9VSC1
Q9Y262	Q9VTU4
Q9NTJ5	Q9W0I6
Q8TD08	Q9W354
Q7KZ85	Q9W420
Q93063	Q9Y169
P61960	A8DYH2
Q9UJ55	Q00725
Q6P5X5	Q4QPU3
P50990	Q7K3J0
Q15050	Q8I937
Q70IA6	Q8IQG1
P33316	Q9V3I1
O95926	Q9V5Q4
P31937	Q9V8M5
Q03014	Q9VDF0
P12955	Q9VG79
O43156	Q9VH80
Q3KRA9	Q9VKU5
Q05519	Q9VL71
Q92890	Q9VTF9
Q9GZR2	Q9VUC3
Q9NSE4	Q9VUY4
Q7L014	Q9VXW2
Q8NBT3	Q9W2B3
Q9H3L0	Q9W375
Q96C34	Q9W5C1
Q6Y288	X2JDC2
O76031	A0A0B4LID7
Q9UBT7	A0A0C4DHD7
Q2M1K9	A1Z9R4
Q9NU22	A8DYB0
Q9C0D6	A8JNM1
P36542	O01666
P27695	P27864
P11021	P29844
P25705	P35381
O75398	Q24180
Q9GZQ3	Q76NP9
O15355	Q7K4Q5
Q9H3P2	Q86NP2
Q8NCE0	Q8IP11
Q9Y2S7	Q8IPQ6
Q9Y530	Q8IPU1
P51553	Q8MT18
Q6ZWL3	Q9VA27
Q8WZ82	Q9VDL1
Q96T23	Q9VID9
Q562E7	Q9VKD0
O96005	Q9VQX6
O94812	Q9VS41
Q9NV70	Q9VVG4
Q14331	Q9VWA8
O77932	Q9VXA8
Q8IUZ0	Q9VZ81
Q13887	Q9VZN4
Q9UG01	Q9W040
Q8WY64	A0A0B4KFY0
Q04760	A1Z6X6
Q9NR50	A1ZA22
Q8IV35	B4F7L9
Q8NBH2	Q0E908
Q5BN46	Q0KI89
O43447	Q4V5H1
Q0P6D2	Q7KVC9
P49914	Q8MLS1
P25208	Q8ST61
Q96T58	Q8SX83
Q9UK41	Q9V359
Q15404	Q9V428
P57740	Q9V466
Q9Y375	Q9VAI1
O95249	Q9VE50
Q2KHT3	Q9VEV4
Q9NR45	Q9VG74
Q8WXX5	Q9VGR7
Q9Y6W6	Q9VHV8
Q5SXM2	Q9VHX0
Q9NZC7	Q9VLU5
Q96EK5	Q9VMX1
O15160	Q9VMX3
Q9UBQ0	Q9VPX5
Q8TE99	Q9VQ86
Q5THJ4	Q9VU08
Q5JPH6	Q9VV59
P57076	Q9VZH1
Q96QK1	Q9W277
O95169	Q9W3X7
Q13523	X2JAG8
Q6ZNF0	X2JB52
Q92546	A0A0C4DHA5
Q504Q3	A1Z7K9
Q96EY7	A1Z9A8
Q8N2U9	M9PEZ6
Q12872	P12297
Q15047	Q32KD2
Q86YW7	Q4V4C8
Q7L0Y3	Q7JUX9
Q96QE3	Q86BP6
P00505	Q8IPY3
P82914	Q8WTC1
Q99547	Q95PE4
Q9UHI6	Q9V3C4
P61011	Q9V3D9
Q9ULJ7	Q9VAU5
Q96RS0	Q9VEA4
O00233	Q9VFS8
Q8N357	Q9VGF5
Q9H9P8	Q9VJ28
Q9NQW7	Q9VJG0
Q14554	Q9VJZ1
O95619	Q9VM63
Q9UBX1	Q9VN93
Q9ULC3	Q9VNG6
Q9BRT3	Q9VRA0
Q9HC36	Q9VW14
O43427	Q9VW45
Q96KC8	Q9VWL4
Q96EY4	Q9VXY4
P62826	Q9VZ23
Q7L3T8	Q9VZY9
O75807	Q9W1E4
O15018	Q9W283
Q99807	Q9W3W4
P42766	Q9W499
O15297	Q9W4H8
Q6PHW0	E1JIB2
Q13347	O02195
Q16181	P40797
P13984	P41900
P78333	Q24114
Q05469	Q7JR83
Q9H0U6	Q7JVK1
P60484	Q7KMQ6
P48637	Q86B44
Q9BRA0	Q8IPZ7
Q9HCD5	Q9U9Q2
O43572	Q9V3I3
O95433	Q9V9Q4
Q6GMV2	Q9VDD0
Q9UHK6	Q9VIK0
O76003	Q9VJZ6
Q96N66	Q9VMD5
A0AVI4	Q9VN16
Q9Y253	Q9VNX1
Q3MIX3	Q9VTG5
Q8WWY3	Q9VUM1
O75643	Q9VUV9
Q16204	Q9VVC8
Q8TD57	Q9VZ77
O75691	Q9W246
Q8NCW5	Q9W2Y3
Q8WUJ1	Q9W376
Q6ULP2	A0A4D6K2J4
Q9H300	A1Z8R8
P46379	B7Z0D3
Q15397	O61345
P05387	P05389
P61086	P52486
P28340	P54358
Q9NWM3	Q8SZU6
P22570	Q9V3T9
Q9H204	Q9VBQ9
Q969U7	Q9VEC2
Q5TC12	Q9VES8
Q9Y5B8	Q9VH94
Q9Y676	Q9VIN9
Q53H12	Q9VL10
Q9Y276	Q9VL22
Q9P015	Q9VPF6
Q96M96	Q9VS45
Q86W42	Q9VTV1
Q9NR33	Q9W256
Q9P0J0	Q9W402
P54278	A1ZA03
Q9NVV4	O46102
Q13045	Q24020
Q96GQ7	Q7JQN4
Q14166	Q7JVG6
Q96FK6	Q7JZ37
Q9UBD5	Q7K2L1
P55786	Q8IRH1
Q5T9L3	Q95ST2
Q9Y230	Q9V3K3
Q8TB37	Q9V9M8
Q9P0N9	Q9VCC4
O76094	Q9VDK7
Q53H47	Q9VGW0
P42696	Q9VJG2
Q9NVA1	Q9VRZ7
Q9GZN8	Q9VSK4
Q96NC0	Q9VZF0
Q96EZ8	Q9VZJ3
Q96MU7	Q9VZQ1
Q13769	Q9W1F4
Q9BUZ4	Q9XYR0
Q96RN5	Q9Y149
Q15643	A0A4D6K5M0
Q66K66	A0A4D6K5P9
Q02543	P41093
Q96EP5	P48809
P23381	Q0KI98
O75822	Q7K550
Q9NRN7	Q8SXB3
Q9HCJ0	Q8SY33
Q86V81	Q9V3E7
Q13402	Q9V3Z6
O43776	Q9V434
Q5VWG9	Q9V4D4
Q8WV28	Q9VAA1
P37108	Q9VDL0
Q9H3G5	Q9VDT5
Q9BTE1	Q9VJQ6
P50991	Q9VK69
O14717	Q9VKB3
O15118	Q9VL24
Q8N1B4	Q9VMQ8
Q96A65	Q9VNH6
Q9BY44	Q9VNX8
O95876	Q9VQ36
Q5T197	Q9VU52
Q6PGQ7	Q9VVR2
P51687	Q9VWP4
P23786	Q9VZW7
Q9UBQ5	Q9W2D9
Q13144	Q9W541
Q9BW27	A1YK02
Q9C086	A1Z6E8
Q12931	A1Z6L9
O15229	A1Z746
Q9HCS5	A8JPC8
Q6ZS30	M9MRV7
P62318	O44437
A0AV02	O46100
P20711	P05031
O95238	P29775
Q5VU97	Q5BI42
Q15904	Q7JR49
Q9H8H2	Q86B47
Q6RW13	Q8IR72
Q96BP3	Q960Q8
P36405	Q9VD64
Q6NXT6	Q9VED0
Q5JTW2	Q9VFH6
Q6UVK1	Q9VJ82
Q8N9M1	Q9VK18
Q7L5Y6	Q9VKM4
O60519	Q9VL14
Q96E29	Q9VPD5
Q9NQP4	Q9VRL3
Q8NFG4	Q9VS33
O95707	Q9VSC6
Q8IV33	Q9VVY0
Q969S3	Q9VX08
Q96DV4	Q9VY48
Q96KA5	Q9VYG3
O60244	Q9W0P8
Q9HB71	Q9W3Y3
O14776	A0A0B4KFB8
Q12986	P40798
O95900	Q29QN4
Q86Y39	Q7JYH3
Q9NX58	Q7K0D3
A6NE02	Q7K187
Q96QC0	Q7KU01
Q8TEK3	Q8INR6
Q5QJE6	Q8STI6
Q9BVA6	Q8SWV6
Q5TFE4	Q961B3
P46100	Q9GQN5
O14744	Q9U6Y9
Q5T2R2	Q9V9Z3
P31939	Q9VC18
Q9NSD9	Q9VCA5
Q9NVM9	Q9VEX5
Q9Y6X3	Q9VFC0
Q9Y3B7	Q9VFJ2
Q8NI36	Q9VFV8
Q9NQ50	Q9VGP7
Q53F39	Q9VLR9
Q9H583	Q9VM75
Q8WW62	Q9VRU2
Q96G74	Q9VTK7
Q93009	Q9VYQ8
Q6P158	Q9VZ55
Q9BZE2	Q9W282
Q96ES7	Q9W2I4
Q9BQ90	Q9W3D5
P23025	P28518
P84098	P36241
Q13976	Q03043
O00743	Q27884
Q96GY3	Q7K159
Q96QF7	Q7KW09
P82675	Q8SYP9
Q9NW38	Q8T913
P22234	Q9I7S8
O75143	Q9VHR6
Q8NHQ9	Q9VHU1
Q9NY61	Q9VM95
Q8N7H5	Q9VN55
Q9BTD8	Q9VND7
P43308	Q9VUZ0
Q3KNV8	Q9VV77
Q9NP92	Q9VXP3
P35573	Q9W2H8
P78371	Q9W392
Q5RL73	A8DYB1
P20618	P40304
P62851	P48588
P0CG13	Q2PDX2
P30101	Q3YMU0
Q96GA3	Q7KN79
P31040	Q94523
O60645	Q9V8K2
P34981	Q9VDC4
Q86X55	Q9VH48
P53041	Q9VH81
P38919	Q9VHS8
Q9ULP9	Q9VIH7
Q9P1Q0	Q9VLC0
Q96F63	Q9VLP6
Q9UBS4	Q9VPQ2
Q9NUL7	Q9VPT3
Q9Y303	Q9VR81
Q9H9Y4	Q9VU67
Q9H2W6	Q9W086
Q7Z7L7	Q9W0E8
Q13868	Q9W1M9
Q9NX40	Q9W1X9
Q96JI7	Q9W1Y8
Q5T6V5	Q9W2I2
Q8TED0	Q9W4Z9
Q9UNE7	Q9XYW6
Q9H9L4	A0A0B4LHU7
Q9UBE8	A0A4D6K823
Q13112	A1Z898
Q9UK73	A1ZBY1
Q12968	A8JUV3
Q14642	B7Z0Q2
P13639	P13060
Q13895	P51406
Q8IY82	Q4V516
Q96IV0	Q7KRR5
