Q96Q11	P21269
Q9UHA3	Q07915
O00231	Q12377
Q8TBK2	Q12504
P0C024	Q12524
P43351	P06778
P22102	P07244
P25705	P07251
P15104	P32288
Q9H1K0	P32609
Q92609	P32806
Q8N697	P32901
Q9H1D9	P32910
P30622	P33420
Q9Y6V7	P38719
P78346	P38786
P61604	P38910
O60906	P40015
P62318	P43321
Q9BV10	P53730
Q6YHU6	Q03496
Q9BV57	Q03677
Q9H446	Q03768
Q86U28	Q12425
P27449	P25515
P55072	P25694
Q8NHQ9	P25808
Q9NWZ5	P27515
P30260	P38042
Q4G176	P38137
O15162	P47140
Q96EE3	P53011
Q15800	P53045
Q9Y3B8	P54964
P19447	Q00578
Q96AJ9	Q04338
Q9UBV2	Q05787
O75061	Q06677
Q12962	Q12030
Q9Y3D8	Q12055
P78316	Q99207
Q9UBM1	P05375
O60783	P10663
Q9NQY0	P25343
Q32NB8	P25578
P24043	P32380
O95801	P33313
P61970	P33331
Q6P1N9	P34220
P60059	P35179
Q9BQ52	P36159
Q9UG56	P39006
O00764	P39988
Q96S55	P40151
Q9NUQ8	P43535
O00487	P43588
Q13190	Q01590
Q9Y3C4	Q03705
Q96NY9	Q04149
Q14137	Q04660
O75794	Q05791
P51665	Q08723
Q9Y221	Q08962
Q9BRU9	Q12339
O14735	P06197
Q8NHR9	P07274
P80404	P17649
Q8N766	P25574
Q9H720	P25618
Q9NWV4	P25654
Q9NZJ6	P27680
P62256	P28263
P51149	P32939
Q9Y4W2	P36146
P54577	P36421
P53803	P40422
A6NK58	Q06005
Q8NHP6	Q06705
Q9NUM3	Q12067
Q5BJF2	Q12155
Q03701	Q12176
Q49B96	Q3E731
P10606	P04037
O76083	P06776
P30876	P08518
Q9H270	P12868
P62888	P14120
P52732	P28742
P23526	P39954
Q6PI26	P40486
Q9C0J8	P42841
P22570	P48360
O00762	P52492
Q9NWX6	P53215
Q13435	Q02554
Q9H9T3	Q02908
Q7L5A8	Q03529
Q9NQQ7	Q03697
Q8TEK3	Q04089
Q53H54	Q04235
Q9H9E3	Q06096
Q9UJA2	Q07560
Q9UPU9	Q08831
Q8TBZ6	Q12400
P42768	Q12446
Q9C0B7	Q12751
P49411	P02992
O43246	P06775
Q92889	P06777
P05198	P20459
P15880	P25443
Q9BW85	P28320
Q00403	P29055
Q9H4L7	P31380
P28328	P32800
P39656	P33767
Q8N1F7	P34077
P38935	P34243
Q9Y333	P38203
P55010	P38431
P78371	P39076
Q9Y4Y9	P40089
Q8WWY3	P49704
Q8NFV4	P53219
P62310	P57743
Q7Z6J9	Q02825
Q9H0R6	Q03557
Q06265	Q05636
Q16719	Q05979
Q9NQZ2	Q12136
Q9UK97	Q12347
Q5TGZ0	Q96VH5
O60673	P14284
Q9Y285	P15625
P49643	P20457
P78329	P21595
Q9Y697	P25374
Q8IY81	P25582
Q13601	P25586
P34949	P29952
Q9P1U0	P32529
Q9BXW7	P36151
P63244	P38011
Q15003	P38170
Q9HC07	P38301
Q5T0N5	P38822
Q70HW3	P38921
Q8IYD8	P40562
Q9UNQ2	P41819
O75347	P48606
P07305	P53551
O43615	Q01852
Q15369	Q03071
Q9NVP1	Q03532
Q15843	Q03919
Q86TM6	Q08109
Q9UJX6	Q12440
P62277	P05756
Q9NZN8	P06100
O95260	P16639
Q13206	P20448
Q9Y2B2	P23797
P32929	P31373
Q96TA2	P32795
Q99832	P42943
Q9UQE7	P47037
P49789	P49775
Q6ICL3	P53275
Q96FZ7	Q04272
Q8IWB9	Q06833
P42696	Q08208
Q9UL62	Q12324
Q9Y222	Q12457
Q14691	Q12488
Q00341	P06105
Q9Y6N1	P19516
P49354	P29703
Q99447	P33412
Q8TAT6	P33755
Q8N4Q1	P36046
Q24JQ0	P40107
P10768	P40363
P24752	P41338
Q9Y3D7	P42949
Q9H553	P43636
O75083	P46680
Q9BRD0	P46947
Q9Y3B2	P53859
Q96FK6	P53962
O00429	P54861
Q86VD9	Q04174
Q14974	Q06142
O15381	Q07844
Q9H221	Q08234
Q9UBS9	Q12232
Q12882	Q12680
Q8TBC4	Q99344
P05386	P05318
Q92620	P15938
Q99442	P21825
P09132	P29478
Q9NW15	P38250
Q9NUW8	P38319
P78406	P40066
P62191	P40327
O00233	P40555
Q14008	P46675
Q13724	P53008
Q13618	P53202
Q13823	P53742
Q14241	P53861
Q9H6U8	P53868
Q9Y512	P53969
P49755	P54837
Q6UWS5	Q02771
Q9H3J6	Q05863
O95620	Q06063
P84101	Q3E7B7
P00414	P00420
P60174	P00942
P26640	P07806
Q9H3H1	P07884
P29083	P36100
Q68G74	P36166
P36776	P36775
Q14181	P38121
P35251	P38630
P55036	P38886
P57789	P40310
Q9BVC4	P41318
Q92562	P42837
Q9Y2Z4	P48527
O75533	P49955
Q08752	P53691
O43929	P54791
Q7Z333	Q00416
Q9P0U4	Q03012
Q15428	Q07350
Q16595	Q07540
Q8WTT2	Q07896
P56277	Q3E7A9
Q9NPA8	Q6WNK7
O60869	O14467
Q16850	P10614
O60931	P17261
O15514	P20433
Q15269	P25635
Q8WV93	P32317
P52657	P32774
P32780	P32776
Q9NV06	P33750
P48449	P38604
O60841	P39730
Q08AI6	P39981
Q7Z3U7	P48563
P63208	P52286
Q9NW75	P53866
P23786	P80235
Q15021	Q06156
Q9NY93	Q06218
Q8N5U6	Q06436
Q8TDN6	Q08235
Q86TN4	Q12272
Q15084	Q12404
Q6PI48	P15179
P19387	P16370
Q9UPT5	P19658
Q13610	P21304
P36954	P27999
P23588	P34167
Q9Y535	P35718
Q6FI81	P36152
Q8IWZ3	P40480
Q14997	P43583
Q9Y234	P47051
O75832	P50086
Q7Z7A3	P53088
Q92759	Q02939
Q14674	Q03018
P61221	Q03195
Q9Y296	Q03784
Q9Y2K5	Q05672
Q9H501	Q06344
P14868	P04802
Q9UGM6	P04803
P17987	P12612
Q92878	P12753
O15550	P14922
P53611	P20133
P06132	P32347
P28066	P32379
Q9H7B2	P36160
P30039	P38765
Q3MHD2	P38828
Q8N1W2	P39933
Q7L211	P42840
Q53GS9	P43589
Q5JPH6	P48525
P23378	P49095
Q147X3	Q03503
Q8IY37	Q04217
Q9Y2Y1	Q04307
Q0GE19	Q05131
Q6ZRS2	Q05471
Q07326	Q06636
O14662	Q08144
Q14692	Q08965
Q6DCA0	Q12012
Q86TL2	Q12042
O75648	Q12093
Q5T5J6	Q12104
Q96H20	Q12483
O43715	O60200
P54819	P07170
Q14232	P14741
P61218	P20435
P60900	P21243
Q8N5M1	P22135
Q9NRX2	P22353
P22314	P22515
O14981	P32333
Q9NX24	P32495
O43294	P35688
O75394	P36533
Q13315	P38110
O75030	P38165
Q08J23	P38205
O15431	P38865
Q9NPG2	P39676
Q14919	P40096
O60508	P40968
P46952	P47096
Q9NXW2	P48353
Q6P3W7	P53009
Q8IWL3	P53193
Q69YN2	P53255
P62333	P53549
P05387	P02400
P07992	P06838
Q10713	P11914
P20618	P23724
P22234	P27616
P82932	P28778
P49770	P32502
P35520	P32582
Q9BZD4	P33895
Q99848	P36049
P60002	P36053
Q9P015	P36520
Q13535	P38111
P82933	P38120
Q32P41	P38793
Q96JB2	P40094
P49588	P40825
Q3B726	P46669
Q9NP73	P53178
Q9BRB3	P53306
Q6PD62	P89105
P53680	Q00381
Q9UI26	Q02932
Q9BT17	Q03151
Q9BPX3	Q06680
O95749	Q12051
O00232	Q12250
Q96SB8	Q12749
Q5JTH9	Q12754
P00846	P00854
P11413	P11412
P10515	P12695
Q9UH03	P25342
Q92994	P29056
P28070	P30657
Q8IY51	P32896
Q96QK1	P34110
Q9Y570	P38796
O15067	P38972
P50991	P39078
Q9UJA5	P41814
Q16514	Q03761
Q9Y253	Q04049
Q9BVI4	Q06512
Q92993	Q08649
Q9H9Y4	Q08726
Q13889	Q12004
Q9NU22	Q12019
Q9Y584	Q12328
Q16613	Q12447
Q9NRG4	Q12529
O15539	Q99188
P23919	P00572
O95602	P10964
Q9P0M9	P12687
Q9UI10	P12754
Q9NVX2	P25382
Q5TC12	P32453
O14561	P32463
P54198	P32479
P49959	P32829
Q96GQ7	P32892
O43633	P36108
Q6UWH6	P38869
Q86Y79	P38876
Q8N1B4	P39904
P54578	P43593
P30793	P51601
Q9Y2Z2	P53070
Q9H3K6	P53082
O95104	P53617
Q9NW68	P54858
P62306	P54999
Q86SX6	Q02784
Q14353	Q03305
Q15397	Q04373
Q9UBB9	Q06411
Q9BVL4	Q08968
Q9UBP6	Q12009
P00441	P00445
P62750	P04456
P04181	P07991
Q9NVA1	P21560
Q8WVM8	P22213
P00966	P22768
Q86VZ6	P32432
Q9H2P9	P32469
Q3KRA6	P36154
P60866	P38701
Q8WTW4	P39923
Q5W041	P39968
P50336	P40012
P25786	P40302
Q5H8A4	P40367
Q2TAA2	P41734
Q04760	P50107
Q9H0A0	P53914
Q96HR8	P53919
O75478	Q02336
P51948	Q03290
Q99471	Q04493
Q08AM6	Q06708
Q96PV6	Q12049
P14927	P00128
P07954	P08417
P36551	P11353
P46459	P18759
Q5T2R2	P18900
P43304	P32191
Q96H96	P32378
Q6PI98	P32617
Q9UMS0	P32860
Q09161	P34160
Q9UEE9	P38326
O95249	P38736
Q13200	P38764
P49366	P38791
O60337	P40318
P46087	P40991
O14734	P41903
Q92535	P46961
Q9UHD9	P48510
Q92890	P53044
Q9UM11	P53197
O15527	P53397
Q9UBS8	Q04638
O15145	Q05933
P61599	Q06504
Q9H2C2	Q06541
Q8WU90	Q12000
Q14376	P04397
P52434	P20436
Q13526	P22696
P56589	P28795
Q9BUI4	P32349
Q9Y2I7	P34756
Q58A45	P36102
Q9NVS9	P38075
Q96NZ1	P39521
Q93009	P50101
P60468	P52871
P55265	P53065
P60484	P53916
P51659	Q02207
O60683	Q05568
O43290	Q12420
O00567	Q12460
Q9H967	Q12510
Q08623	Q86ZR7
Q9Y5L0	Q99189
Q8NFW5	P07269
P62495	P12385
Q9UGP8	P14906
Q96GW9	P22438
O15155	P22804
Q6P1X5	P23255
Q6IN84	P25270
Q8N6M5	P25335
Q9HCE5	P25583
Q99816	P25604
Q99685	P28321
P48556	P32496
Q99543	P32527
O95628	P34909
Q9Y263	P36037
P40938	P38251
Q9BXP2	P38329
O75586	P38782
Q9ULA0	P38821
Q969S0	P40004
Q9HB07	P40093
Q969K4	P40560
Q96GX9	P47095
P55263	P47143
Q8WVB6	P49956
Q13057	P53332
Q8NI27	P53552
Q9UBQ7	P53839
P55735	Q04491
Q15393	Q04693
Q8TEQ8	Q07830
Q96S15	Q08281
P13804	Q12480
P04424	P04076
P41252	P09436
P25208	P13434
P31948	P15705
Q8TBB6	P25376
P39748	P26793
Q9H3S4	P35202
P51946	P37366
Q5JPI9	P40516
O60870	P40962
P24863	P47821
Q9BWT6	P53102
P53990	P53843
Q6P587	P53889
Q9UK45	P53905
O95619	P53930
Q9BZE4	Q02892
Q9Y265	Q03940
Q9HCS7	Q04048
Q8WZ74	Q04749
Q96ST2	Q06505
Q9ULX3	Q08444
Q9UJK0	Q12094
A6NKG5	Q7LHG5
P04179	P00447
P49642	P10363
Q15031	P11325
P10809	P19882
Q9NW08	P22276
Q969H6	P28005
Q9NTJ5	P32368
P08240	P32916
Q9Y617	P33330
Q6UXN9	P36104
P49368	P39077
Q9BVS4	P40160
Q9Y3D6	P40515
Q9H4B0	P43122
Q9NSE4	P48526
Q86U06	P53883
Q8TCF1	P53899
P60604	Q02159
Q86UK7	Q05580
Q9UBE0	Q06624
Q96DW6	Q07534
Q01780	Q12149
Q9BZJ0	Q12309
Q9Y5U9	Q3E834
Q5JTJ3	Q3E846
P00403	P00410
O15160	P07703
P40926	P17505
O94906	P19735
P62875	P22139
P51955	P22209
Q7KZ85	P23615
Q12996	P25298
P05423	P25441
Q9BRJ6	P25617
P16455	P26188
P08397	P28789
P13639	P32324
O43592	P33418
Q53HI1	P36125
P07814	P38708
Q13868	P38792
P04843	P41543
Q9BYW2	P46995
Q7Z7B1	P47026
Q7Z6V5	P47058
Q5HYK3	P49017
Q99623	P50085
P57740	P52891
Q9Y2K6	P53874
Q9BWH6	Q04418
Q9BTT4	Q06213
Q9Y2T3	Q07729
Q92989	Q08685
P27708	P07259
P20042	P09064
P12004	P15873
P55789	P27882
P50213	P28241
P37287	P32363
P50579	P38174
O43164	P38239
P26196	P39517
Q9BUP3	P40008
Q68CQ4	P40498
Q9Y2R4	P45818
Q9H4G4	P47032
Q9BY32	P47119
Q9BRP4	P53196
Q9NQP4	P53900
Q9NYH9	Q02354
Q9BRT9	Q03406
Q969E8	Q06672
Q9NY33	Q08225
Q6P4F2	Q12184
O95671	Q99210
Q4L235	P07702
Q9NS91	P10862
Q9ULR0	P21374
O00267	P27692
Q9UHY7	P32626
Q9Y3E7	P36095
O94979	P38968
Q9UJ68	P40029
Q9UBH6	P40528
P21549	P43567
Q75T13	P43571
Q86X76	P47016
P61081	P52491
Q96P70	P53067
Q92968	P80667
O14746	Q06163
O94886	Q06538
Q14249	P08466
Q9UDW1	P22289
P25787	P23639
P25205	P24279
P20585	P25336
P43686	P33298
O95427	P36051
P51649	P38067
Q96AA3	P38206
Q8IYI6	P38261
Q9NRW7	P38932
O95347	P38989
Q969S9	P39677
Q96DG6	P39721
P35250	P40339
Q9BTM9	P40554
Q5T440	P47158
Q92643	P49018
P63173	P49167
Q96BW9	P53230
Q9Y3D3	Q02608
Q9Y2Z0	Q08446
Q9NNW5	Q08924
Q14258	Q12161
Q9UHB4	Q12181
P20674	P00427
P30038	P07275
P49591	P07284
Q8TCC7	P0CE00
P17707	P21182
O00519	P22580
A5YKK6	P25655
Q96DP5	P32785
P12956	P32807
P17980	P33297
P82675	P33759
P40616	P38116
P35249	P40348
P43487	P41920
Q6IA86	P42935
Q9NRZ9	P43610
Q9HAV4	P52918
Q9H089	P53145
Q9HC21	P53257
Q9NX74	P53720
Q9BV38	P53877
Q8WV22	Q07913
P30049	Q12165
Q8NCS7	Q12412
P61962	Q12523
Q16543	P06101
P32321	P06773
P04818	P06785
P14324	P08524
Q8NEB9	P22543
P53602	P32377
P61160	P32381
Q9NUI1	P32573
Q9NPF4	P36132
P40937	P38629
Q9HAU5	P38798
Q15813	P39937
Q5JVF3	P47130
Q8WWH5	P48567
Q9H9F9	P53946
Q9UKK9	Q01976
P35573	Q06625
Q86UW6	Q08954
Q7L5D6	Q12125
Q06203	P04046
P06744	P12709
Q99798	P19414
Q9NTJ4	P22855
O43933	P24004
Q96I59	P25345
O60763	P25386
Q6NVY1	P28817
Q15645	P38126
Q9NXC5	P38164
Q14152	P38249
Q9NP81	P38705
Q9H0S4	P38712
Q16864	P39111
Q9UHV9	P40005
Q5SXM8	P42844
Q96MU6	P47043
Q9BSC4	P48234
Q92541	P53064
Q2TAA5	P53954
O60942	Q01159
P52701	Q03834
Q96BD5	Q04779
Q12788	Q05946
Q13564	Q12059
Q9H1Y0	Q12380
Q9H981	Q12386
P56537	Q12522
P62805	P02309
P28340	P15436
Q9H9Y6	P22138
Q9UGP5	P25615
Q14527	P31244
P11177	P32473
Q9Y5B9	P32558
O43766	P32875
Q5JRX3	P32898
Q9Y5Q9	P33339
Q9BTV6	P38332
P49754	P38959
Q6NXT6	P40085
P24666	P40347
Q9BZG8	P40487
Q8N442	P46943
P49005	P46957
Q9H3S5	P47088
Q96S52	Q04080
Q96G46	Q06053
Q9Y2X3	Q12499
O60524	Q12532
P24928	P04050
O14802	P04051
P50613	P06242
P08574	P07143
Q01831	P14736
P19388	P20434
P25788	P21242
Q99437	P23968
O15269	P25045
Q9BVC3	P25559
Q8IW45	P36059
P51530	P38859
Q15070	P39952
P53618	P41810
P50990	P47079
O43913	P50874
Q14894	P53110
Q6IPR3	P53177
Q9Y5L4	P53299
O75312	P53303
Q92917	Q02521
Q9NPB8	Q02979
Q9Y5N5	Q03920
O76071	Q05583
P00491	Q05788
O95163	Q06706
O75419	Q08032
P48637	Q08220
Q15050	Q08746
Q2LD37	Q12150
P23396	P05750
P53701	P06182
P43246	P25847
Q9P2J5	P26637
Q86U90	P32579
Q9GZT4	P36007
O94973	P38065
O94913	P39081
Q86UA1	P39682
P55769	P39990
O15457	P40965
Q9NPF5	P53201
Q9Y3B7	P53875
Q2VPK5	P53923
Q96G21	P53941
Q9Y2V7	P53959
Q9BV20	Q06489
P39210	Q06563
Q969X6	Q06679
Q9GZR2	Q08237
P49917	Q08387
Q7Z2E3	Q08702
O75716	Q12003
Q9UHC1	Q12083
P16435	P16603
Q9BUQ8	P23394
P46777	P26321
O75691	P35194
Q99797	P35999
Q9BQ83	P38324
O43292	P39012
O00628	P39108
Q9Y673	P40350
P13984	P41896
Q5VIR6	P47061
P50747	P48445
Q9ULG1	P53115
O75340	P53238
Q9Y6H3	P53722
P00813	P53909
Q9BTE6	P53960
Q9GZS1	Q01080
P53582	Q01662
Q7Z695	Q02981
Q969G6	Q03778
P32320	Q06549
Q9BVG4	Q08971
Q9Y672	Q12001
Q96RS0	Q12052
Q8TDD1	Q12389
Q92905	Q12468
Q8N2Z9	Q3E835
Q9BZL1	Q6Q546
P11021	P16474
P21912	P21801
O15370	P25042
Q9H7D7	P25569
P46782	P26783
Q9BZE2	P31115
O75943	P32641
P30825	P32837
Q13608	P33760
Q92685	P38179
O00244	P38636
O95396	P38820
Q86V88	P40081
Q8IXW5	P40084
Q86WR0	P40206
Q03468	P40352
O75191	P42826
O43583	P47089
O75844	P47154
Q5J8M3	P53073
P33981	P54199
Q9UNM6	Q04062
Q13395	Q07527
P62877	Q08273
Q16134	Q08822
Q9UBU9	Q99257
O00311	P06243
Q13472	P13099
P22830	P16622
Q9UPQ8	P20048
P41223	P25337
Q99633	P33411
Q9P0I2	P36039
P62910	P38061
Q96F25	P38242
Q86TP1	P38698
P42285	P47047
Q9H6R4	P53254
O15144	P53731
P12270	Q02455
O75153	Q03690
Q6KC79	Q04002
Q9BVW5	Q04659
Q14690	Q05022
Q9Y324	Q05498
Q8TEA8	Q07648
Q12893	Q12239
O43660	Q12417
P47914	P05747
Q16774	P15454
P82914	P21771
P0DPB6	P28000
A1X283	P29366
Q9Y312	P32357
P48506	P32477
Q9Y276	P32839
Q86SQ9	P35196
Q9H8H2	P36120
Q9NWS0	P38768
A6NJL1	P41696
Q96FX7	P46959
Q9NQR4	P49954
Q9UM13	P53068
Q8N8A6	P53734
Q9BV23	P53750
O43719	P53830
Q96EB1	Q02884
Q7Z6Z7	Q03280
P62316	Q06217
O43513	Q08278
Q01658	Q92317
Q14565	P25453
Q9BQC3	P32461
P35998	P33299
O43776	P38707
Q7Z569	P38748
Q9UKR5	P40030
Q9NQH7	P40051
Q53F39	P40986
Q96JE7	P48415
Q15738	P53199
Q7Z2Z2	P53893
Q8N4J0	P53934
Q13112	Q04199
Q96FZ2	Q04471
Q9Y255	Q05776
Q8TAD8	Q07930
Q9NQT5	Q08285
Q05932	Q08645
Q9NYG5	Q12157
P00480	P05150
P24539	P05626
P09622	P09624
P47756	P13517
P36957	P19262
Q06609	P25454
P09110	P27796
O14980	P30822
Q9BRX2	P33309
P33316	P33317
O75879	P33893
Q8TCT9	P34248
Q9NX58	P37263
Q7Z2K6	P38244
Q8N543	P40032
Q9UI12	P41807
Q9Y2Z9	P53318
Q9NV56	P53911
Q12986	P53971
Q8IWA0	Q02931
Q9Y256	Q03530
Q96C11	Q04585
Q9BQ70	Q05468
Q9NY61	Q06631
Q9NTJ3	Q12267
Q9Y3E2	Q3E793
Q6PGP7	P17883
Q96BW1	P18562
Q99570	P22219
Q9H477	P25332
Q9Y5K8	P32610
Q13416	P32833
O15229	P38169
Q9NTK5	P38219
O14744	P38274
P16260	P38702
Q9Y295	P39729
O43242	P40016
Q00325	P40035
O75027	P40416
Q8WVM7	P40541
P38117	P42940
Q9HD47	P47123
O43143	P53131
Q6RFH5	P53136
O15235	P53732
O95155	P54860
Q9UNI6	Q02256
Q13795	Q02804
P41214	Q04600
P30566	Q05911
P23381	Q12109
Q9UNX4	Q12220
O14929	Q12341
Q6ZYL4	Q3E7C1
Q8IWW8	P10127
O43709	P25627
P30044	P38013
Q9UET6	P38238
Q9Y3C7	P38633
O95568	P40481
Q96BZ9	P43570
O75140	P47170
Q14694	Q01477
Q13952	Q02516
Q9Y5B0	Q03254
O43395	Q03338
Q9NZZ3	Q03390
Q9BQ67	Q04225
O60930	Q04740
Q9NWS8	Q05648
Q9H6V9	Q06522
Q10570	Q06632
O94888	Q06682
Q6P1J9	Q06697
Q13126	Q07938
P09661	Q08963
Q9NRX1	Q99216
Q9Y3A0	O13525
P46060	P11745
Q9NSD9	P15624
Q8NCE0	P16658
P49356	P22007
P27694	P22336
Q9Y3E5	P34222
Q9H2W6	P36528
O94903	P38197
Q9UHB9	P38687
Q8N122	P38873
Q9UBF8	P39104
P23434	P39726
O15213	P40055
O95478	P40078
Q9Y5Y2	P40558
P12955	P43590
O75575	P47076
P48728	P48015
Q9NQT4	P53256
P53597	P53598
Q99459	Q03654
Q6UWP2	Q05016
Q3SY77	Q06321
Q9Y2L1	Q08162
O43681	Q12154
Q15637	Q12186
Q96EY9	Q9URQ3
P23511	P06774
Q9H3H5	P07286
P09884	P13382
P49721	P22141
Q9P253	P27801
O75845	P32353
Q9Y399	P32902
O76021	P36144
Q9GZR7	P38112
P33993	P38132
O00400	P38318
O96017	P39009
Q9UG63	P40024
P61803	P46964
O15212	P52553
Q9BSH4	P53212
Q96BK5	P53335
P53999	P54000
Q8N159	Q01217
Q13867	Q01532
Q6IQ20	Q02883
Q9NRP4	Q04401
Q9BQ48	Q04598
Q08945	Q04636
Q8N954	Q06152
Q92979	Q06287
Q7L8W6	Q12429
P56937	Q12452
P18074	P06839
Q9NXH9	P15565
O60244	P19263
Q12887	P21592
P56282	P24482
Q6GTS8	P27614
Q04446	P32775
O60645	P32844
Q86Y82	P32854
P63272	P32914
O60832	P33322
Q8WVC0	P38439
Q9HD20	P39986
Q9H490	P41733
Q99807	P41735
Q9H598	P47082
Q9ULW3	P53743
Q92600	P53829
Q9BYG3	P53927
Q9BUK6	Q03652
Q12824	Q06168
Q8IY18	Q08204
O95153	Q12234
Q7Z4G4	Q12463
Q96EU6	Q12481
P62979	P05759
Q86YJ6	P16120
Q7L590	P32354
Q96EK9	P34253
P67870	P38930
Q9Y248	P40359
Q9HAB8	P40506
Q9H8P0	P40526
Q13257	P40958
P48444	P43621
P80108	P47014
Q86U38	P47077
P53384	P52920
Q504Q3	P53010
P49848	P53040
Q8IUR0	Q03337
Q9Y6W3	Q03792
Q9Y3A5	Q07953
Q9H173	Q08199
Q9GZL7	Q12024
Q96E22	Q12063
O75663	Q12199
Q9NPH2	P11986
P54098	P15801
Q07864	P21951
O60725	P32584
Q14669	P33202
Q13895	P38333
O14964	P40343
P00390	P41921
Q5TGY1	P43564
Q96G04	P47163
O75381	P53112
O15260	P53337
P53621	P53622
P54886	P54885
P62072	P87108
P62195	Q01939
P83876	Q06819
O00488	Q08004
Q9BRX5	Q12146
P49247	Q12189
P62304	Q12330
O75192	Q12462
Q9P0J6	O14464
P07902	P08431
O00411	P13433
Q15046	P15180
P30085	P15700
Q15185	P28707
Q15459	P32524
Q8TF76	P32789
P62487	P34087
P53007	P38152
Q969N2	P38875
Q9UDR5	P38999
Q8N3P4	P39702
Q7KZN9	P40086
Q8N9T8	P42846
Q9H583	P42945
Q96EK6	P43577
Q12904	P46672
P61758	P48363
P25398	P48589
P49589	P53852
Q9UK41	Q02767
Q9Y5R8	Q03630
Q8N2U9	Q03687
Q5C9Z4	Q06132
Q15427	Q99181
Q9Y5J7	O74700
P10746	P06174
O95363	P08425
Q9P2K8	P15442
P22087	P15646
Q9Y5K1	P23179
Q99720	P32352
Q92616	P33892
O14757	P38147
Q9NW64	P38241
O95394	P38628
O95476	P38757
Q9BUK0	P38824
Q9Y4Z0	P40070
P35232	P40961
Q15274	P43619
Q3ZCQ8	Q02776
Q9NZM5	Q12080
Q14061	Q12287
Q9BYD1	Q12487
Q99741	P09119
Q12874	P19736
Q14562	P24384
Q92698	P32863
Q9UKD2	P33201
P29084	P36145
Q9Y244	P38293
Q96D46	P38861
O95352	P38862
O15116	P47017
P55039	P53295
Q9NVU7	P53313
Q9UGY1	Q04031
O75821	Q04067
Q6UW68	Q06089
Q9BQS8	Q06651
Q9Y2P8	Q08096
Q96PZ0	Q08647
Q5QJE6	Q12035
Q14197	Q12322
P56192	P00958
Q9UNQ0	P25371
Q8NBU5	P28737
Q16540	P32387
Q15477	P35207
A4D1U4	P36090
Q9H9Y2	P38805
P40692	P38920
Q9Y3T9	P39744
Q9UJ83	P39994
Q9Y5X2	P40959
Q9H063	P41910
Q6UN15	P45976
Q13367	P46682
Q9NPD3	P46948
O00566	P47083
Q9Y316	P47085
Q9P2W1	P53187
Q15526	P53266
Q9UI14	P53633
Q9UJ41	P54787
Q92696	Q00618
Q13434	Q02799
Q8TED0	Q04305
Q9H993	Q04371
P09960	Q10740
Q8TD22	Q12029
P61009	Q12133
Q14865	P09547
