X6R8D5	Q8K168
Q9Y467	Q9QX96
Q9Y468	A2A5N8
Q9Y471	Q61419
Q9Y478	Q9R078
Q9Y483	Q02395
Q9Y484	Q91VM3
Q9Y485	Q6PNC0
Q9Y487	P15920
Q9Y490	P26039
Q9Y493	O88799
Q9Y496	P28741
Q9Y4A0	B2RRL2
Q9Y4A5	Q80YV3
Q9Y4A8	Q9WTM4
Q9Y4B4	Q99NG0
Q9Y4B5	Q3UHU5
Q9Y4B6	Q80TR8
Q9Y4C0	Q6P9K9
Q9Y4C1	Q6PCM1
Q9Y4C2	Q8BNE1
Q9Y4C4	Q3V1N1
Q9Y4C5	Q80WV3
Q9Y4C8	Q8R3C6
Q9Y4D1	Q8BPM0
Q9Y4D2	Q6WQJ1
Q9Y4D7	Q3UH93
Q9Y4D8	E9Q2E4
Q9Y4E5	Q8C0P7
Q9Y4E6	Q920I9
Q9Y4E8	Q8R5H1
Q9Y4F1	F8VPU2
Q9Y4F3	Q8BJ34
Q9Y4F4	Q6A070
Q9Y4F5	Q80U49
Q9Y4F9	Q80U16
Q9Y4G2	Q7TSI1
Q9Y4G6	Q71LX4
Q9Y4G8	Q8CHG7
Q9Y4H2	P81122
Q9Y4H4	Q3U1Z5
Q9Y4I1	Q99104
Q9Y4I5	Q9WTJ6
Q9Y4J8	Q9D2N4
Q9Y4K0	P58022
Q9Y4K1	A0A0G2JG52
Q9Y4K3	P70196
Q9Y4K4	Q8BPM2
Q9Y4L1	Q9JKR6
Q9Y4L5	Q9D0C1
Q9Y4P1	Q8BGE6
Q9Y4P3	Q9R099
Q9Y4P8	Q80W47
Q9Y4P9	Q99JL1
Q9Y4R7	A4Q9E5
Q9Y4R8	Q9DC40
Q9Y4U1	Q9CZD0
Q9Y4W2	A2BE28
Q9Y4W6	Q8JZQ2
Q9Y4X0	Q9JHT5
Q9Y4X3	Q9Z1X0
Q9Y4X4	O35738
Q9Y4X5	Q9Z1K5
Q9Y4Y9	P62322
Q9Y4Z0	Q9QXA5
Q9Y4Z2	P70661
Q9Y508	Q9ET26
Q9Y512	Q8BGH2
Q9Y519	Q8BG09
Q9Y520	Q3TLH4
Q9Y530	Q8R5F3
Q9Y534	Q91YQ3
Q9Y535	Q9D2C6
Q9Y543	O54792
Q9Y546	Q8R2U7
Q9Y547	Q9D6H2
Q9Y548	Q91VU1
Q9Y561	Q8BUJ9
Q9Y566	D3YZU1
Q9Y570	Q8BVQ5
Q9Y572	Q9QZL0
Q9Y573	P28575
Q9Y574	Q9WV71
Q9Y575	Q9WV72
Q9Y576	Q9WV74
Q9Y577	Q7TPM3
Q9Y580	Q9CQT2
Q9Y581	Q9QY05
Q9Y584	Q9CQ85
Q9Y586	Q8BPP1
Q9Y587	Q9WVL1
Q9Y592	Q9D5R3
Q9Y597	Q8BFX3
Q9Y5A6	Q07231
Q9Y5A7	P54729
Q9Y5A9	Q91YT7
Q9Y5B0	Q7TSG2
Q9Y5B6	P58501
Q9Y5B8	Q9QXL8
Q9Y5B9	Q920B9
Q9Y5C1	Q9R182
Q9Y5E2	Q91Y04
Q9Y5E3	Q91Y06
Q9Y5E8	Q91XZ8
Q9Y5E9	Q91XZ9
Q9Y5F3	Q91Y08
Q9Y5F6	Q91XW9
Q9Y5F7	Q91XX0
Q9Y5F8	Q91XX3
Q9Y5F9	Q91XX4
Q9Y5G2	Q91XX7
Q9Y5G3	Q91XX8
Q9Y5G4	Q91XX9
Q9Y5G5	Q91XY0
Q9Y5G6	Q6DD96
Q9Y5G7	Q91XY2
Q9Y5G8	Q91XY3
Q9Y5G9	Q91XY4
Q9Y5H0	Q91XY5
Q9Y5H1	Q91XY6
Q9Y5H2	Q91XY8
Q9Y5H3	Q91XY9
Q9Y5H4	Q91XZ0
Q9Y5H7	Q91Y15
Q9Y5H8	Q91Y16
Q9Y5H9	Q91Y17
Q9Y5I0	Q91Y18
Q9Y5I1	Q91Y19
Q9Y5I2	Q91Y11
Q9Y5I3	Q91Y21
Q9Y5I4	Q91Y09
Q9Y5I7	Q925N4
Q9Y5J1	Q5SSI6
Q9Y5J3	Q9WV93
Q9Y5J5	Q9WV95
Q9Y5J6	Q9WV96
Q9Y5J7	Q9WV98
Q9Y5J9	P62077
Q9Y5K1	Q9WTK8
Q9Y5K2	Q9Z0M1
Q9Y5K3	Q811Q9
Q9Y5K5	Q9WUP7
Q9Y5K6	Q9JLQ0
Q9Y5K8	P57746
Q9Y5L0	Q6P2B1
Q9Y5L2	Q9JLS0
Q9Y5L3	O55026
Q9Y5L4	P62075
Q9Y5L5	Q9WVB6
Q9Y5M8	P47758
Q9Y5N1	P58406
Q9Y5N5	Q6SKR2
Q9Y5N6	Q9WUJ8
Q9Y5P3	Q9QVY8
Q9Y5P4	Q9EQG9
Q9Y5P6	Q8BTZ7
Q9Y5Q0	Q9JJE7
Q9Y5Q3	P54841
Q9Y5Q5	Q9Z319
Q9Y5Q6	Q9WUG6
Q9Y5Q8	Q8R2T8
Q9Y5Q9	Q3TMP1
Q9Y5R2	Q9R0S2
Q9Y5R4	Q921L7
Q9Y5R5	Q8BG36
Q9Y5R6	Q9QZ59
Q9Y5R8	Q5NCF2
Q9Y5S1	Q9WTR1
Q9Y5S2	Q7TT50
Q9Y5S8	Q8CIZ9
Q9Y5S9	Q9CWZ3
Q9Y5T4	Q78YY6
Q9Y5T5	Q99LG0
Q9Y5U2	Q9JHE7
Q9Y5U4	Q91WG1
Q9Y5U5	O35714
Q9Y5U8	P63030
Q9Y5U9	Q9CR20
Q9Y5V0	Q9D115
Q9Y5V3	Q9QYH6
Q9Y5W3	Q60843
Q9Y5W5	Q9WUA1
Q9Y5W7	Q8BHY8
Q9Y5W8	Q6PHS6
Q9Y5W9	Q91WL6
Q9Y5X0	Q9CWT3
Q9Y5X1	Q91VH2
Q9Y5X2	Q8CFD4
Q9Y5X3	Q9D8U8
Q9Y5X4	Q9QXZ7
Q9Y5X5	Q924H0
Q9Y5X9	Q9WVG5
Q9Y5Y0	B2RXV4
Q9Y5Y2	Q9R061
Q9Y5Y3	Q9EQQ4
Q9Y5Y4	Q9Z2J6
Q9Y5Y5	Q91XC9
Q9Y5Y6	P56677
Q9Y5Y7	Q8BHC0
Q9Y5Y9	Q6QIY3
Q9Y5Z0	Q9JL18
Q9Y5Z4	Q9WU63
Q9Y5Z6	O54904
Q9Y5Z7	Q9D968
Q9Y5Z9	Q9DC60
Q9Y600	Q9DBE0
Q9Y606	Q9WU56
Q9Y608	Q91WK0
Q9Y613	Q6P9Q4
Q9Y614	Q9QY83
Q9Y615	Q9QY84
Q9Y616	Q8K4B2
Q9Y617	Q99K85
Q9Y618	Q9WU42
Q9Y619	Q9WVD5
Q9Y620	Q6PFE3
Q9Y623	Q5SX39
Q9Y624	O88792
Q9Y625	Q9R087
Q9Y639	P97300
Q9Y644	O09009
Q9Y646	Q9WVJ3
Q9Y651	Q811W0
Q9Y653	Q8K209
Q9Y657	Q61142
Q9Y661	D3YVV6
Q9Y662	Q9QZS6
Q9Y663	Q8BKN6
Q9Y664	Q8VCX6
Q9Y666	Q9WVL3
Q9Y672	Q3TAE8
Q9Y673	Q9DB25
Q9Y675	Q9WU12
Q9Y676	Q99N84
Q9Y678	Q9QZE5
Q9Y679	P70295
Q9Y680	O54998
Q9Y689	Q80ZU0
Q9Y691	Q9CZM9
Q9Y692	Q9JL60
Q9Y693	Q8BM86
Q9Y694	Q91WU2
Q9Y696	Q9QYB1
Q9Y697	Q9Z1J3
Q9Y698	O88602
Q9Y6A1	Q8R2R1
Q9Y6A2	Q9WVK8
Q9Y6A4	Q8BTU1
Q9Y6A5	Q9JJ11
Q9Y6A9	Q9D958
Q9Y6B2	Q9DCR4
Q9Y6B6	Q9CQC9
Q9Y6B7	Q9WV76
Q9Y6C2	Q99K41
Q9Y6C5	O35595
Q9Y6C9	Q791V5
Q9Y6D0	Q9JLJ1
Q9Y6D5	A2A5R2
Q9Y6D6	G3X9K3
Q9Y6D9	Q9WTX8
Q9Y6E0	Q99KH8
Q9Y6E2	Q91VK1
Q9Y6E7	Q8R216
Q9Y6F1	Q3ULW8
Q9Y6F6	Q9WUX5
Q9Y6F9	P22727
Q9Y6G1	P56983
Q9Y6G3	Q9CPV3
Q9Y6G5	Q8JZY2
Q9Y6G9	Q8R1Q8
Q9Y6H1	Q9D1L0
Q9Y6H3	Q9CWQ3
Q9Y6H5	Q99ME3
Q9Y6H6	Q9WTW2
Q9Y6H8	Q64448
Q9Y6I3	Q80VP1
Q9Y6I4	Q91W36
Q9Y6I7	O54927
Q9Y6I8	Q9JJW0
Q9Y6I9	E9Q137
Q9Y6J0	G3X8Q1
Q9Y6J6	Q9D808
Q9Y6J8	Q9DAR2
Q9Y6J9	Q8R2K4
Q9Y6K0	Q8BGS7
Q9Y6K1	O88508
Q9Y6K5	Q8VI93
Q9Y6K8	Q920P5
Q9Y6K9	O88522
Q9Y6L7	Q9WVM6
Q9Y6M0	Q9JHJ7
Q9Y6M1	Q5SF07
Q9Y6M4	Q8C4X2
Q9Y6M5	Q60738
Q9Y6M9	Q9CQJ8
Q9Y6N1	Q6P8I6
Q9Y6N5	Q9R112
Q9Y6N6	Q9R0B6
Q9Y6N7	O89026
Q9Y6N8	P70408
Q9Y6N9	Q9ES64
Q9Y6P5	P58006
Q9Y6Q1	O35646
Q9Y6Q2	Q8CDJ8
Q9Y6Q3	P17141
Q9Y6Q5	Q9WVP1
Q9Y6Q6	O35305
Q9Y6Q9	O09000
Q9Y6R0	O08919
Q9Y6R1	O88343
Q9Y6R4	O08648
Q9Y6R9	Q3UJV1
Q9Y6S9	Q8R2S1
Q9Y6T7	Q6NS52
Q9Y6U3	Q60604
Q9Y6U7	Q5SPX3
Q9Y6V0	Q9QYX7
Q9Y6V7	Q4FZF3
Q9Y6W3	Q9R1S8
Q9Y6W5	Q8BH43
Q9Y6W6	Q9ESS0
Q9Y6W8	Q9WVS0
Q9Y6X0	Q9Z180
Q9Y6X1	Q9Z1W5
Q9Y6X2	O54714
Q9Y6X3	Q9D2X5
Q9Y6X4	Q5XG69
Q9Y6X5	Q8BTJ4
Q9Y6X8	Q8C0C0
Q9Y6X9	Q69ZX6
Q9Y6Y0	Q920Q8
Q9Y6Y1	A2A891
Q9Y6Y8	Q6NZC7
Q9Y6Y9	Q9JHF9
Q9Y6Z7	Q8CF98
U3KPV4	Q3V1N9
V9GZ13	A0A2I3BRA8
W5XKT8	E9Q8Q8
A0A075B6H9	A0A0B4J1K5
A0A075B6L2	A0A0B4J1J8
A0A075B6W1	A0A0G2JFW2
A0A075B6W3	A0A0G2JDY8
A0A075B6W9	A0A0G2JGM9
A0A087WT02	A0A075B603
A0A087WTH1	E9Q8G3
A0A087WWA1	B1AUF7
A0A087WXM9	Q5F2C3
A0A087WZ39	A0A140T8P8
A0A096LP01	Q3V460
A0A096LP49	Q8C5V8
A0A0B4J1T7	Q8K1T6
A0A0B4J240	A0A0B4J1J9
A0A0B4J263	A0A0G2JG17
A0A0B4J265	A0A075B6C4
A0A0B4J268	Q5R1I9
A0A0B4J2F0	A0A5F8MPY0
A0A0D9SF12	A2AGD7
A0A0J9YXV3	A0A0J9YVH6
A0A0K0K1B3	A0A075B5J5
A0A0U1RQF7	A0A2I3BPW5
A0A0U1RQG5	A2A3U9
A0A0U1RQI7	A0A0N4SUM5
A0A0U1RQS6	A0A0U1RQ45
A0A0U1RR37	A0A0U1RNT7
A0A0U1RRA0	A0A0U1RNU5
A0A0U1RRE5	A0A0N4SUI7
A0A0U1RRK4	G3UW55
A0A0U1RRL7	A0A0N4SW31
A0A0U1RRN3	Q8C5Y2
A0A140TA62	Q9D646
A0A183	D3YV94
A0A1B0GTB2	A0A1B0GQX2
A0A1B0GTC6	A0A1D5RM98
A0A1B0GTD5	Q8CDT5
A0A1B0GTH6	Q8CH19
A0A1B0GTH9	Q9D2T6
A0A1B0GTI1	A0A1B0GS61
A0A1B0GTK4	A0A1Z4VJI9
A0A1B0GTL2	A0A140LIA7
A0A1B0GTQ4	Q2Q5T5
A0A1B0GTR0	E9Q7F5
A0A1B0GTU2	A0A1B0GST9
A0A1B0GTW7	A0A286YEC0
A0A1B0GTY4	Q9D5B7
A0A1B0GTZ2	A0A1B0GRJ3
A0A1B0GU71	G3UW36
A0A1B0GUA5	A0A1B0GSF6
A0A1B0GUA6	A0A1B0GSP6
A0A1B0GUA7	A0A140LIV7
A0A1B0GUA9	E9PY36
A0A1B0GUC4	Q3UWS6
A0A1B0GUI7	A0A1B0GRB6
A0A1B0GUJ8	A0A1B0GT27
A0A1B0GUS0	A0A1B0GS00
A0A1B0GUT2	Q9CX25
A0A1B0GUV1	A0A1B0GT39
A0A1B0GUV7	Q9DA81
A0A1B0GUV8	A0A1B0GSM6
A0A1B0GUW6	A0A1B0GT45
A0A1B0GUW7	A0A140LHV9
A0A1B0GUX0	B9EJX3
A0A1B0GUY1	A0A1D5RLC8
A0A1B0GUZ9	A0A1D5RM44
A0A1B0GV90	A0A1B0GQX3
A0A1B0GV96	A0A1B0GSF9
A0A1B0GVD1	Q3UQ24
A0A1B0GVG4	A0A140LIT1
A0A1B0GVG6	G3UW99
A0A1B0GVH4	A0A286YDY8
A0A1B0GVH6	A0A140LJ24
A0A1B0GVH7	Q149I8
A0A1B0GVK7	J3QNP9
A0A1B0GVM6	Q9DAE7
A0A1B0GVN3	A0A140LIP3
A0A1B0GVQ0	A0A1B0GSZ0
A0A1B0GVQ3	A0A1B0GSX1
A0A1B0GVS7	B2RVL9
A0A1B0GVT2	A0A1B0GRQ0
A0A1B0GVV1	E9Q2Z6
A0A1B0GVX0	A0A0J9YTU8
A0A1B0GVY2	Q8BUR5
A0A1B0GVY4	Q3V2G4
A0A1B0GVZ2	J3QMB3
A0A1B0GVZ9	Q9D4Y8
A0A1B0GW15	A0A286YCQ8
A0A1B0GW35	B9EK06
A0A1B0GW54	A0A1B0GST8
A0A1B0GW64	Q3TS39
A0A1B0GWB2	A0A140LJJ2
A0A1B0GWG4	A0A1B0GSN8
A0A1B0GX68	A0A0A6YYE2
A0A1W2PP97	A0A1L1STL9
A0A1W2PPF3	Q7TNE6
A0A1W2PPG7	B2RVA4
A0A1W2PQ72	Q3UDN3
A0A1W2PQ73	A0A140LIR9
A0A1W2PQU2	A0A1W2P7I0
A0A1W2PR48	A0A1W2P7S4
A0A1W2PR82	A0A286YDK6
A0A1W2PRP0	J3QP53
A0A1W2PS18	Q8CES1
A0A286YEU6	Q8VFY0
A0A286YF18	A0A1Y7VJ29
A0A286YF58	A0A1Y7VLQ2
A0A286YFK9	A0A1L1SR87
A0A2R8Y4L6	A0A2I3BPX0
A0A2R8Y4M2	A0A0G2JFF0
A0A2R8Y556	A0A2I3BR05
A0A2R8Y7D0	A0A1B0GRQ3
A0A2R8Y7Y5	J3QMQ6
A0A2R8YED5	A0A286YDM5
A0A2R8YEH3	Q8VFS3
A0A494BZU2	A0A494B999
A0A494BZU4	E9PWY5
A0A494C0I6	A0A494B9I6
A0A494C1I1	Q8VBZ2
A0A576	A0A075B5I2
A0A5B7	A0A075B5J2
A0A5F9ZHS7	A0A5F8MPM5
A0A669KB60	A0A668KLB6
A0A6I8PU40	A0A6I8MX38
A0A7P0TBJ1	A0A804C8T0
A0A8I5KY20	Q5SUE3
A0A8V8TPW1	A0A8V5KY98
A0AUZ9	Q5DTI6
A0AV02	Q8VI23
A0AV96	Q91WT8
A0AVF1	Q8BS45
A0AVI2	P0DM40
A0AVI4	Q8K304
A0AVK6	Q58FA4
A0AVT1	Q8C7R4
A0FGR8	Q3TZZ7
A0FGR9	Q5DTI8
A0JD36	Q5R1A3
A0JD37	A0A075B661
A0JLT2	Q8C1S0
A0JNW5	A2RSJ4
A0MZ66	Q8K2Q9
A0PG75	J3QM92
A0PJK1	Q5SWY8
A0PJW6	Q9CQE2
A0PJW8	Q9D757
A0PJX0	Q9D9N5
A0PJX2	A2ACG1
A0PJX4	Q3UPR0
A0PJX8	Q8R115
A0PJY2	Q0VDQ9
A0PJZ3	Q810K9
A0PK00	Q3TA38
A0PK05	Q8C3K5
A0PK11	B2RVW2
A1A4G5	A0A1B0GSK3
A1A4S6	Q6Y5D8
A1A4V9	Q6NZQ0
A1A519	Q66LM6
A1A5B4	P86044
A1A5C7	Q3UHH2
A1A5D9	Q8CHW5
A1E959	A1E960
A1IGU5	A1IGU4
A1KXE4	Q80XQ8
A1L020	G3UYU0
A1L0T0	Q8BU33
A1L157	Q9D1D1
A1L162	E9Q1A6
A1L167	A0PJN4
A1L168	A0A571BEE7
A1L170	J3QNH8
A1L188	A2AMZ4
A1L190	B5KM66
A1L1A6	B2RTN2
A1L390	Q4VAC9
A1L3X0	Q9D2Y9
A1L453	Q3UKY7
A1L4H1	Q8BV57
A1L4K1	Q8BZ52
A1L4L8	Q08EJ0
A1X283	A2AAY5
A1XBS5	Q8BP22
A1YPR0	Q8VCZ7
A1Z1Q3	Q3UYG8
A2A288	Q8BIY3
A2A2V5	Q8CD78
A2A2Y4	Q8BHD4
A2A368	Q9CWV4
A2A3K4	Q6NZK8
A2A3L6	Q8BYG0
A2AJT9	A2AG58
A2CJ06	A2CI98
A2IDD5	D3Z5T1
A2PYH4	D3Z4R1
A2RRH5	Q8C5V5
A2RRL7	Q08EA8
A2RRP1	E9Q411
A2RTX5	Q8BLY2
A2RTY3	Q5QNV8
A2RU14	Q9CQ44
A2RU30	Q3U132
A2RU48	Q8BQM7
A2RU49	Q5U5V2
A2RU54	P43687
A2RU67	Q8BYI8
A2RUB1	A2AG06
A2RUB6	Q6NS45
A2RUC4	A2RSX7
A2RUH7	Q5FW53
A2RUS2	A2RT67
A2RUT3	Q9DA04
A2VCK2	J3KML0
A2VDF0	Q8R2K1
A2VDJ0	Q3U3D7
A2VEC9	Q8CG65
A3KMH1	Q8CC88
A3KN83	Q689Z5
A4D0T7	F2Z3Y9
A4D0V7	B2RX70
