A0PK11	A0A2I3RH01
Q8NGX3	H2Q0B6
Q96BJ3	H2Q166
Q9GZW8	H2Q3S3
Q8N413	H2Q430
O95998	H2Q4C1
P41439	H2Q4C3
Q86WS5	H2Q5X2
Q00973	H2Q6B9
Q96AX1	H2Q742
O75339	H2Q9M0
Q01850	H2QAR2
P13498	H2QBQ0
A6NLX3	H2QC87
P17152	H2QCG2
Q6UXU0	H2QF04
P35269	H2QF47
Q8N587	H2QFA1
A6NJJ6	H2QFJ9
O14526	H2QFR7
P11049	H2QGU4
Q8N661	H2QH55
Q08ER8	H2QH98
Q9NQ48	H2QMG1
Q9BWF2	H2QMM6
Q9NYF3	H2QRK4
Q6UWT4	H2QRQ9
P51959	H2QRY5
A7XYQ1	H2QTH9
P28336	H2QTU6
P14598	H2QUR6
Q9NXR8	H2QVA1
Q8IVN8	H2QWA7
Q8NGS4	H2QXM1
Q16384	H2QYM8
Q9Y546	H2R0A5
Q9P2J3	H2R0C1
Q9NRR3	H2R2H3
Q8NG48	H2R3Q0
Q9Y2T2	H2R420
Q9BQ48	H2R6A9
A6NNM8	H2R872
Q6UXG3	H2R9R2
Q8TAG5	H2RD36
Q8IYN2	H2RF56
Q96PC5	H2RGJ6
Q15819	K7A6R3
Q9H1X3	K7BQN9
Q8IZW8	K7BYE2
Q8TAV0	K7BZT0
Q9UET6	K7C690
P20749	K7DP79
Q06643	Q862Z7
Q12791	A0A2I3R9W8
Q496M5	A0A2I3R9X6
A0A1B0GVS7	A0A2I3RLN6
Q9NVR2	A0A2I3RLU7
Q8NHV9	A0A2I3RMS5
O15041	A0A2I3RN25
O60481	A0A2I3RP19
Q9C000	A0A2I3RZH6
Q15485	A0A2I3S722
Q5VT25	A0A2I3SG77
Q6JHZ5	A0A2I3SGX5
C9JLR9	A0A2I3SLF7
O15344	A0A2I3SM24
O00626	A0A2I3SMD5
Q17R89	A0A2I3SMH6
Q96JK9	A0A2I3SSE2
P18545	A0A2I3T3T8
A0A096LP55	A0A2I3T4V4
Q3SYG4	A0A2I3T6B3
Q7L0Q8	A0A2I3TGK4
Q9NS67	A0A2I3TNN2
Q6VN20	A0A2I3TQ05
Q13576	A0A2I3TWS1
Q9HB55	A0A2I3TX51
Q8IZ20	A0A2J8JNQ6
Q9H2B2	A0A2J8MMH3
Q8NE62	A0A2J8P7Z9
O00590	A0A2J8PAV6
P15328	A0A2J8PZV0
P55259	A0A2J8Q5N5
Q9NYY1	A0A2J8QVU7
Q14209	H2PYA6
Q9H9Y4	H2PYE5
Q96NB2	H2Q2I1
Q9H8K7	H2Q2Q2
Q8NHM5	H2Q729
Q99986	H2Q8W5
Q96SY0	H2Q9M5
Q9H2W6	H2QA11
Q9Y4F3	H2QAM6
Q86YC2	H2QAS1
O14874	H2QAZ6
Q8N6T7	H2QF08
Q9UIE0	H2QGI8
P55089	H2QHM4
Q8N5P1	H2QIJ8
Q9Y680	H2QJ22
Q9UI33	H2QMB6
Q9UNA3	H2QNG0
A6NIV6	H2QNQ1
Q9Y666	H2QQK9
O75962	H2QQN5
Q6PIJ6	H2QRR2
Q9GZQ4	H2QRU6
O43566	H2QS37
A4D1B5	H2QUT9
O75410	H2QW18
Q8N987	H2QWF0
Q86UY5	H2QWN6
P20594	H2QX89
P83859	H2QY22
Q969J3	H2R1T3
Q8NGA0	H2R6E0
Q8IUC6	H2R6G6
A6NGQ2	H2R751
Q9NY46	H2RAZ9
Q9BYR4	H2RBB2
P30084	K7AHE9
Q8J025	K7AHR8
Q8IXQ6	K7AYQ3
O75787	K7BE88
Q16763	K7BPT6
Q5T5M9	K7BQC1
Q9UHG3	K7CXN9
Q96AH8	K7D641
Q96FV2	K7DE34
Q9NRP7	K7DNJ5
P03901	Q37809
Q8TD22	A0A2I3RAB5
P13805	A0A2I3RFB6
O14776	A0A2I3RJ71
P39905	A0A2I3RKL7
P35030	A0A2I3RLD2
Q9H936	A0A2I3RLI0
P32121	A0A2I3S2M1
Q13087	A0A2I3SLQ2
Q9UL16	A0A2I3SN11
Q6UWM5	A0A2I3SNM6
O95391	A0A2I3SPP3
Q99828	A0A2I3SQB6
P01033	A0A2I3SWW3
Q96T59	A0A2I3SYI2
Q5EBN2	A0A2I3T040
A0A0J9YY54	A0A2I3T4V2
Q9UC06	A0A2I3TER9
Q5T7W0	A0A2I3TGD2
Q8N1T3	A0A2I3TGH9
P56706	A0A2I3TH72
Q6PEX7	A0A2I3TLP2
Q8NEB9	A0A2I3TRY9
Q8NGD2	A0A2J8JHD7
P40261	A0A2J8KZX9
Q96LU5	A0A2J8P498
Q9NX95	A0A2J8PN74
Q96IR2	A0A2J8Q7H4
P07477	A0A2J8QUC3
Q9NRW7	H2PZW0
Q9BXD5	H2Q0Q9
Q5T442	H2Q198
Q9BXX3	H2Q1R9
Q16572	H2Q1W2
Q8WYB5	H2Q248
Q8NGJ2	H2Q302
Q9HB07	H2Q620
Q16671	H2Q624
Q9Y4H2	H2Q7S8
Q9NQU5	H2Q960
O95273	H2Q9A2
Q9Y4G6	H2Q9J8
Q96KF2	H2QDC4
Q9NXB0	H2QDI7
Q9C0F0	H2QEF3
O75635	H2QEN5
O95473	H2QGR0
Q9Y2D1	H2QGX0
Q9GZX5	H2QH14
P42331	H2QI10
Q569K6	H2QLH0
Q9HCI7	H2QNF4
Q15283	H2QNH9
Q15645	H2QQK7
Q6UXB8	H2QSX2
Q13595	H2QU97
Q9Y3Q8	H2QV29
Q8N1Q1	H2QWD3
Q8N5L8	H2QX66
P08842	H2QY96
O95972	H2QYM3
P28328	H2R0I3
P18627	H2R1K3
P0CG22	H2R3L5
Q15633	H2R7F2
Q8NGY3	H2R8J7
Q8TCX5	H2R9M8
P41002	H2RDP3
Q12962	H2RF08
C9JJ37	H2RFW9
Q15270	H2RHB1
P27987	K6ZTH2
P12235	K7AY97
Q96S55	K7BSN9
Q9NVJ2	K7CJK1
Q96PH1	K7CKC9
Q9NZ52	K7CPU6
Q9H6J7	K7CRK2
Q6IQ49	K7DFY0
P15907	Q701R5
Q93045	A0A2I3RC94
Q08AD1	A0A2I3RE09
P20340	A0A2I3RF53
O00526	A0A2I3RKC4
O15499	A0A2I3RLS0
P17024	A0A2I3RPA8
Q86SQ9	A0A2I3RQZ6
P35555	A0A2I3RTE4
O15034	A0A2I3RZR7
A0A075B6T7	A0A2I3SED0
Q08050	A0A2I3SH33
Q8N769	A0A2I3T529
P59861	A0A2I3T8G2
P55265	A0A2I3T9M4
A0A1B0GVH4	A0A2I3TAI4
P60228	A0A2I3TSK0
P02745	A0A2J8K443
Q92597	A0A2J8KEY9
Q96FI4	A0A2J8KS58
Q13630	A0A2J8LG06
Q9P2D6	A0A2J8PW32
Q96E66	B6CZ40
O76064	G2HFB4
Q6VUC0	H2PYM4
Q5T1C6	H2Q000
Q5T3I0	H2Q099
Q07507	H2Q0J9
Q96D05	H2Q208
Q9NTM9	H2Q2E9
P46776	H2Q351
Q3SY84	H2Q5Z9
Q6JQN1	H2Q6W3
P63167	H2Q713
A6NK06	H2Q7N6
Q9H867	H2Q896
P24278	H2Q8G4
Q16520	H2Q8N1
P21781	H2Q9E4
P36578	H2Q9N4
Q9BRJ9	H2QA24
Q7L5N7	H2QB42
Q7Z417	H2QCK2
P80075	H2QCN5
Q08AF3	H2QCP5
P23443	H2QDK7
P10415	H2QEM8
Q6ZR52	H2QFW6
O60234	H2QGA4
P62955	H2QH31
Q9H8M1	H2QJ70
A8MPX8	H2QM63
Q8WUF8	H2QR83
P48506	H2QT77
Q8NFV4	H2QUQ2
Q9Y222	H2QUV4
Q6ZTQ4	H2QV76
Q15406	H2QXV7
Q96HG1	H2QZ55
Q6ZN01	H2R004
O14717	H2R2B5
A8K2U0	H2R2T1
Q96N87	H2R3L2
Q8IXM3	H2R5Z4
Q14249	H2R675
P09210	H2R768
P26842	H2R7K8
B1ANS9	H2R7Z2
Q9C0A1	H2R9F0
Q4LEZ3	H2R9Q3
P20807	H2RBT6
P56746	H2RC53
Q92623	H2RFE8
Q9UKJ3	H2RGB6
P37288	H2RHW7
Q7Z6K3	H2RI15
Q9H410	K7AZK1
Q8NHP8	K7B3B5
Q9H832	K7BAZ7
Q9NVH1	K7BJ24
P30038	K7BJ44
P17032	K7CAF9
Q9P241	K7DFV6
P61626	P61628
P61916	P61917
Q9NX14	Q0MQJ5
Q16602	A0A2I3RAK9
E2RYF6	A0A2I3RG66
Q0VDG4	A0A2I3RHI5
Q12959	A0A2I3RPZ4
Q6IA69	A0A2I3RZ54
O75897	A0A2I3RZK0
P21757	A0A2I3S2Z4
Q96FC9	A0A2I3S5T0
O15269	A0A2I3SNL1
Q9UHD8	A0A2I3T6Y0
A8MY62	A0A2I3TAX3
Q5VWP3	A0A2I3TGF5
Q6RW13	A0A2I3TJZ6
Q9UNW8	A0A2J8IY83
O14498	A0A2J8KRK4
Q8WWY6	A0A2J8LWW0
O75355	A0A2J8PB70
Q8TCV5	A0A2K6I0L7
Q567U6	G2HFT9
Q9Y478	G2HGR1
Q6P0Q8	H2PYY0
Q8WZ79	H2PZA4
Q6NUK1	H2PZI9
Q86SM8	H2Q2X5
O75489	H2Q3J2
Q9Y2H1	H2Q5N0
P31275	H2Q630
Q8TC44	H2Q6L0
P50579	H2Q6M7
O43597	H2Q7P2
Q6H9L7	H2Q8P8
A6NH21	H2Q9B4
Q6ZRY4	H2Q9L2
Q02846	H2QC65
Q02086	H2QDB1
Q9Y3D9	H2QDI1
Q8WVB3	H2QE53
Q8N8Z8	H2QFE8
O95183	H2QI96
Q8WYK1	H2QIN4
Q9H1P3	H2QKQ4
Q9Y3M2	H2QLN8
Q9UNU6	H2QMD8
Q6PI26	H2QMX7
P42081	H2QN76
P57772	H2QNB0
P35968	H2QPH6
P50443	H2QRS4
Q16658	H2QU49
Q9UJU6	H2QUH8
Q8N129	H2QV19
O95429	H2QW14
P60468	H2QXK5
Q9UJX6	H2QY82
O75437	H2QZD8
P13726	H2R022
O60682	H2R068
O75373	H2R682
Q9BZH6	H2R7B8
Q5VTA0	H2R9H3
Q8TBE3	H2RH59
F2Z3F1	H2RHP0
Q9H7U1	K7ADH4
P41240	K7AWV1
Q96FS4	K7B4C7
Q99873	K7BS54
P63104	K7DDM2
P99999	P99998
P08048	Q6B4Z5
P04080	Q8I030
P61289	A0A2I3RFE0
Q8NG04	A0A2I3RGQ7
Q7Z4M0	A0A2I3RHR3
P30281	A0A2I3RXN8
Q9NQV6	A0A2I3S7R8
Q68CP4	A0A2I3SAL8
P43356	A0A2I3SCA6
Q8IYH5	A0A2I3SGM8
Q92832	A0A2I3SSA6
Q9NP99	A0A2I3SUN9
Q9NPI1	A0A2I3SXE3
O75093	A0A2I3T1U4
Q05682	A0A2I3T5C6
A8MVX0	A0A2I3TJ21
Q9Y6Q6	A0A2I3TJN8
P59910	A0A2I3TR02
Q5M775	A0A2J8J798
Q8NI36	A0A2J8KIT9
P08684	B1NL93
Q14093	G2HIG2
Q15466	H2PYE6
Q15392	H2PZ41
Q8N0S6	H2Q0M9
Q8TDX7	H2Q0U7
O75794	H2Q1M2
O95470	H2Q220
P53634	H2Q4I9
O95125	H2Q504
Q9ULR3	H2Q6D5
O75901	H2Q6K2
O95409	H2Q7R3
Q6NXP6	H2Q8P5
Q8TDY8	H2Q9M3
Q99856	H2Q9S7
P22223	H2QBE4
Q96GS4	H2QC73
Q13432	H2QCH9
P02533	H2QCZ7
Q14126	H2QEE5
O00194	H2QEK3
Q9C0B9	H2QEM6
Q9UNZ5	H2QFI9
Q8NHR9	H2QHI9
Q0P641	H2QJB4
Q8NGV6	H2QMZ7
Q96IW7	H2QN87
P08582	H2QP17
P56385	H2QP27
P42702	H2QQS8
Q8NEF9	H2QRD9
Q96NK8	H2QUE0
Q14004	H2QUG7
Q9UDT6	H2QUR3
Q01469	H2QWC3
Q502W6	H2R0W7
Q86T13	H2R166
Q9NUT2	H2R3F4
Q8NFD2	H2R4Y7
A6NCN8	H2R7L7
Q7Z4T9	H2R834
Q15554	H2RA24
P18583	H2RAJ1
P51449	H2RAL9
A8MQ27	H2RDE4
Q13976	K6ZDM7
O94868	K7AP78
Q9Y4L5	K7AVF5
Q8N4Z0	K7AYY0
Q9HCM4	K7BC44
P43490	K7BN66
Q6FHJ7	K7CC23
Q9BWV1	K7CCV7
Q9H7C4	K7CJH9
P08240	K7D648
P68400	K7D8P4
P67775	K7DAZ4
Q14641	Q5CZK6
P36871	A0A2I3RDN8
Q5VT28	A0A2I3RF94
P08195	A0A2I3S1I3
Q99816	A0A2I3SDN5
O60610	A0A2I3SFP3
O95825	A0A2I3SJJ8
P07311	A0A2I3SP27
Q6PEY0	A0A2I3SZH3
Q9Y2L6	A0A2I3TEC6
P40227	A0A2I3TGI7
Q92185	A0A2I3TNR2
A0A1B0GVY2	A0A2I3TTF6
Q5JSP0	A0A2J8IXB3
P08697	A0A2J8JKR7
P17643	A0A2J8M4Q3
P11150	A0A2J8NSE0
O15072	A0A2J8PFD7
O60512	G2HE03
Q16773	G2HET0
Q96PP8	H2PZD2
Q9H040	H2Q1C7
O43903	H2Q3B3
O95070	H2Q462
Q04118	H2Q5G6
P82979	H2Q665
Q8WVE0	H2Q794
Q9NRM7	H2Q796
Q8IZ73	H2Q965
Q96AB6	H2QAM3
Q15276	H2QC01
Q6UXZ0	H2QCL3
Q9ULV0	H2QEI7
Q99748	H2QF36
Q9NXK8	H2QFA2
Q9UMF0	H2QFB3
O14559	H2QG44
Q9Y5K2	H2QGZ0
Q9UHA7	H2QIK8
Q9P0S3	H2QJ51
Q8WXB1	H2QJA8
Q9UGU5	H2QLJ9
Q8NEL0	H2QN19
Q9H9H5	H2QNU0
Q9UI17	H2QR51
Q6UXP7	H2QR59
P28062	H2QSR8
Q9BYV9	H2QTF0
Q9Y3D6	H2QV54
Q6IQ20	H2QV64
O43657	H2QYV9
Q9UJU3	H2R0X8
P58317	H2R1F3
O95876	H2R2S2
Q9UGR2	H2R6Y8
Q8NGF7	H2R7T2
A6NGA9	H2R8A6
Q96GW7	H2R8K1
A8MWY0	H2RDC6
Q8N8A8	H2RE51
A0A183	H2RED1
A1L188	H2RHN8
P33897	K6ZKQ4
Q96AT9	K7A873
Q9UJP4	K7AD10
Q15154	K7B4I5
Q96M94	K7BHE3
Q92930	K7BHS2
P48426	K7BJ75
Q9BWT1	K7BRT4
Q9BVC5	K7CD88
Q969Y2	K7CHB2
Q9UMZ2	K7CQP2
Q9Y297	K7CWH9
Q9NTJ4	K7D1G6
Q86U70	K7D3H1
O43825	A0A2I3RIK9
Q92804	A0A2I3RMZ1
Q03167	A0A2I3RNZ4
Q9Y6M4	A0A2I3RZN6
P85298	A0A2I3S205
Q14BN4	A0A2I3S7F4
Q13555	A0A2I3S956
A6NHT5	A0A2I3SJT0
Q96EK2	A0A2I3SKI4
O94956	A0A2I3SLB0
Q96QU1	A0A2I3SPN6
Q96RK0	A0A2I3SU62
Q9BYE2	A0A2I3SWN6
Q7Z5J4	A0A2I3T0M6
P13631	A0A2I3T1N3
Q9NWB1	A0A2I3T7A9
Q04864	A0A2I3TAV0
Q8NCP5	A0A2I3TC84
Q8TBB0	A0A2I3TWD4
P15036	A0A2J8M7W2
Q9BZE3	A0A2J8NAK0
Q53H80	G2HG91
Q5VUY2	H2PY22
Q5TGY1	H2PY73
Q68E01	H2Q040
Q9NR55	H2Q141
Q9UL58	H2Q334
A6NLI5	H2Q3K3
O00212	H2Q480
O75956	H2Q492
Q96A22	H2Q4R9
P48444	H2Q4W6
Q8NGE7	H2Q655
Q8IWA6	H2Q6Z8
O00634	H2QAD5
Q9BSJ5	H2QDS0
Q02413	H2QEE3
P24158	H2QES4
Q96DU7	H2QGD0
Q16478	H2QGF5
P21145	H2QIB8
Q8N0Z3	H2QN46
Q8IZ02	H2QNQ0
Q86SK9	H2QPT0
Q14515	H2QPU9
Q96D03	H2QPY4
Q9ULB4	H2QQP8
Q14154	H2QRN9
P01903	H2QSR4
Q99551	H2QUW9
Q9H3H5	H2R3F6
Q6UWF7	H2R4Y5
Q9NTK1	H2R7Q5
P04114	H2R8Y5
O14926	H2R9C3
P16284	H2R9G1
B2RXF0	H2REH8
Q8NGU2	H2RGD5
Q9Y3X0	H2RH17
O75298	K6ZEG9
Q9HD45	K6ZGA1
Q9Y3D2	K7AJ99
Q9H492	K7BI42
Q15382	K7C1E5
Q9HBH9	K7C336
Q9BTL4	K7CI00
Q9Y316	K7CMT3
Q9Y397	K7CVY0
Q30KP8	Q30KJ3
Q9NYW0	Q646B5
P02649	Q9GJU3
Q9GZX7	R4GNJ9
Q86YW7	A0A0F7RQF3
Q6P3V2	A0A2I3RAN8
P78363	A0A2I3RDT3
P42568	A0A2I3RE48
Q96L96	A0A2I3REQ6
Q5JTW2	A0A2I3RH09
Q12974	A0A2I3RRD6
A8MW95	A0A2I3RU22
P36537	A0A2I3S7F6
A4D0Y5	A0A2I3SJ16
Q02930	A0A2I3SKA8
P35610	A0A2I3SP88
Q5UCC4	A0A2I3T888
Q9H270	A0A2I3TA18
Q2VPB7	A0A2I3TGV9
Q96EF6	A0A2I3TI77
O95755	A0A2I3TS01
Q2L4Q9	A0A2I3TTW1
Q3KRA9	A0A2I3TW59
Q9NSK7	A0A2J8KSM9
Q13491	A0A2J8KUC1
Q9H116	A0A2J8KWZ9
Q96NA8	A0A2J8LFI6
O95500	A0A2J8M7Q2
Q14721	A0A2J8MJF2
A5PKW4	A0A2J8PCZ7
Q6YP21	H2PZC7
P04746	H2PZI5
Q5T0L3	H2Q0H5
Q13325	H2Q289
Q6U949	H2Q2W6
P52961	H2Q2X7
Q6ZSA7	H2Q3N5
Q96NZ1	H2Q6U3
Q96K30	H2Q6X6
Q6PJG2	H2Q8K6
Q6ZMI3	H2Q9F6
P54098	H2QA19
P51665	H2QBI1
Q9UKN7	H2QCE0
Q92764	H2QCZ2
Q9UH92	H2QD25
Q8N3J3	H2QD64
P01024	H2QF54
Q9H8S5	H2QGC1
Q14623	H2QJG1
Q08188	H2QJU1
Q13530	H2QKE5
Q8WW35	H2QP08
Q9Y2T4	H2QP63
O43927	H2QPR5
Q99650	H2QQS9
Q6UB35	H2QTW9
P36639	H2QU33
Q86UQ4	H2QUK3
O60496	H2QVU0
P24386	H2QYV2
Q96M86	H2R5L0
Q5T2S8	H2R7R5
Q8N7F7	H2R8Q4
Q07889	H2R8U9
Q7Z4H3	H2RC12
Q3MUY2	H2REL6
C9JDP6	H2RI21
Q04941	K7A944
Q14160	K7AG48
O15382	K7AWP9
P53816	K7BR37
Q13887	K7BXG6
Q5JSL3	K7C5A1
Q9BSY4	K7CSN2
Q8IVM0	K7CY97
Q9UNX3	K7D1B0
P56545	K7D511
Q99418	K7DCH1
Q86U06	K7DIC9
P48029	K7DP91
P48742	Q5IS44
O60500	A0A2I3RBF3
Q9P2E9	A0A2I3RBM8
P49419	A0A2I3RJH3
Q14697	A0A2I3RXU4
Q9ULL4	A0A2I3S1H6
Q8TDI0	A0A2I3SB75
Q6IE38	A0A2I3SV79
A0A0B4J234	A0A2I3SYM8
Q8WV15	A0A2I3T3R3
Q96EQ8	A0A2I3TFY9
Q14168	A0A2J8J492
Q9Y4F9	A0A2J8JQC0
P57739	A0A2J8K3N3
A6NFC5	A0A2J8K7V3
Q9ULD2	A0A2J8KII3
Q9NRL2	A0A2J8MHY0
Q6ZMR3	A0A2J8P4T2
Q13214	A0A2J8P933
Q8WV37	A0A2J8Q766
O75152	A0A2J8QWF6
Q96L58	H2PXT4
Q8NDY8	H2PXU4
P62241	H2PYW3
P20337	H2PZ08
O95999	H2PZB6
Q5VTL8	H2PZJ2
