Category	Org1_ID	Org2_ID	Rank	K_Expected
OtO	Q9Y2B5	Q8C190	1	1
OtO	Q9Y2B9	O70139	1	1
OtO	Q9Y2C2	Q8BUB6	1	1
OtO	Q9Y2C3	Q9JI67	1	1
OtO	Q9Y2C4	Q8C163	1	1
OtO	Q9Y2C5	Q5NCM1	1	1
OtO	Q9Y2C9	Q9EPW9	5	1
OtO	Q9Y2D0	Q9QZA0	1	1
OtO	Q9Y2D1	O70191	1	1
OtO	Q9Y2D2	Q8R1T4	1	1
OtO	Q9Y2D4	A6H5Z3	1	1
OtO	Q9Y2D5	O54931	1	1
OtO	Q9Y2D8	Q8VC66	1	1
OtO	Q9Y2D9	Q5DU09	1	1
OtO	Q9Y2E4	E9PWR4	1	1
OtO	Q9Y2E5	O54782	1	1
OtO	Q9Y2E6	Q6PDK8	1	1
OtO	Q9Y2E8	Q8R4D1	1	1
OtO	Q9Y2F5	E9Q286	4	1
OtO	Q9Y2F9	P58545	1	1
OtO	Q9Y2G0	Q6ZQ18	1	1
OtO	Q9Y2G1	Q3UR85	1	1
OtO	Q9Y2G3	Q6DFW5	1	1
OtO	Q9Y2G4	Q69ZU8	1	1
OtO	Q9Y2G5	Q8VHI3	1	1
OtO	Q9Y2G7	Q60585	1	1
OtO	Q9Y2G8	Q80TN4	1	1
OtO	Q9Y2G9	Q7TNB8	1	1
OtO	Q9Y2H0	B1AZP2	1	1
OtO	Q9Y2H1	Q7TSE6	1	1
OtO	Q9Y2H2	Q8CDA1	1	1
OtO	Q9Y2H5	Q7TQG1	1	1
OtO	Q9Y2H6	Q8BX90	1	1
OtO	Q9Y2H9	Q9R1L5	1	1
OtO	Q9Y2I1	Q80TM9	1	1
OtO	Q9Y2I2	Q8R4G0	1	1
OtO	Q9Y2I6	Q6ZQ12	1	1
OtO	Q9Y2I7	Q9Z1T6	1	1
OtO	Q9Y2I8	Q8CBE3	1	1
OtO	Q9Y2I9	Q69ZT9	1	1
OtO	Q9Y2J0	P47708	1	1
OtO	Q9Y2J2	Q9WV92	1	1
OtO	Q9Y2J4	Q8K371	1	1
OtO	Q9Y2J8	Q08642	1	1
OtO	Q9Y2K1	Q91VL9	1	1
OtO	Q9Y2K2	Q6P4S6	1	1
OtO	Q9Y2K3	E9Q264	1	1
OtO	Q9Y2K5	Q80TM6	1	1
OtO	Q9Y2K6	Q8C6M1	1	1
OtO	Q9Y2K7	P59997	1	1
OtO	Q9Y2K9	Q5DQR4	1	1
OtO	Q9Y2L1	Q9CSH3	1	1
OtO	Q9Y2L5	A0A286YCX6	1	1
OtO	Q9Y2L6	Q920B0	1	1
OtO	Q9Y2L8	Q9Z1D8	1	1
OtO	Q9Y2L9	P62046	1	1
OtO	Q9Y2M0	Q69ZT1	1	1
OtO	Q9Y2M2	Q8C3L1	1	1
OtO	Q9Y2M5	Q8VCK5	1	1
OtO	Q9Y2N7	Q0VBL6	1	1
OtO	Q9Y2P4	E9Q9W4	1	1
OtO	Q9Y2P5	Q4LDG0	3	1
OtO	Q9Y2P8	Q9JJT0	1	1
OtO	Q9Y2Q0	P70704	1	1
OtO	Q9Y2Q3	Q9DCM2	1	1
OtO	Q9Y2Q5	Q9JHS3	1	1
OtO	Q9Y2Q9	Q9CY16	1	1
OtO	Q9Y2R0	Q9D2R6	1	1
OtO	Q9Y2R2	P29352	1	1
OtO	Q9Y2R4	Q8K301	1	1
OtO	Q9Y2R5	Q9CQE3	1	1
OtO	Q9Y2R9	Q80X85	1	1
OtO	Q9Y2S2	Q99KP3	1	1
OtO	Q9Y2S6	Q8K003	1	1
OtO	Q9Y2S7	Q91VA6	1	1
OtO	Q9Y2T1	O88566	1	1
OtO	Q9Y2T2	Q9JKC8	1	1
OtO	Q9Y2T3	Q9R111	1	1
OtO	Q9Y2T4	Q8BG02	1	1
OtO	Q9Y2T5	P0C5J4	1	1
OtO	Q9Y2T6	Q3UJF0	1	1
OtO	Q9Y2T7	Q9Z2C8	1	1
OtO	Q9Y2U2	Q9Z2T1	1	1
OtO	Q9Y2U5	Q61083	1	1
OtO	Q9Y2U8	Q9WU40	1	1
OtO	Q9Y2U9	Q4G5Y1	1	1
OtO	Q9Y2V0	Q3U4G0	1	1
OtO	Q9Y2V2	Q9CR86	1	1
OtO	Q9Y2V3	O35602	1	1
OtO	Q9Y2V7	Q8R3I3	1	1
OtO	Q9Y2W1	Q569Z6	1	1
OtO	Q9Y2W2	Q923D5	1	1
OtO	Q9Y2W3	Q8BIV7	1	1
OtO	Q9Y2W6	Q80VL1	1	1
OtO	Q9Y2W7	Q9QXT8	1	1
OtO	Q9Y2X0	Q6PGF3	1	1
OtO	Q9Y2X3	Q6DFW4	1	1
OtO	Q9Y2X7	Q68FF6	1	1
OtO	Q9Y2X9	Q99LI5	1	1
OtO	Q9Y2Y0	Q9D385	1	1
OtO	Q9Y2Y1	Q9CQZ7	1	1
OtO	Q9Y2Y4	Q9JKD9	1	1
OtO	Q9Y2Y6	Q91X86	1	1
OtO	Q9Y2Y8	Q9JL95	1	1
OtO	Q9Y2Y9	Q9JJZ6	1	1
OtO	Q9Y2Z0	Q9CX34	1	1
OtO	Q9Y2Z2	Q923Z3	1	1
OtO	Q9Y2Z4	Q8BYL4	1	1
OtO	Q9Y2Z9	Q8R1S0	1	1
OtO	Q9Y303	Q8JZV7	1	1
OtO	Q9Y312	Q9D2V5	1	1
OtO	Q9Y314	Q9D6T0	1	1
OtO	Q9Y315	Q91YP3	1	1
OtO	Q9Y316	Q91VH6	1	1
OtO	Q9Y320	Q9D710	1	1
OtO	Q9Y324	Q9CTH6	1	1
OtO	Q9Y328	P47759	1	1
OtO	Q9Y330	Q9Z150	1	1
OtO	Q9Y333	O35900	1	1
OtO	Q9Y334	Q9JHA8	1	1
OtO	Q9Y337	Q9D140	1	1
OtO	Q9Y342	Q9DCU2	1	1
OtO	Q9Y343	Q9CRB0	1	1
OtO	Q9Y345	Q761V0	1	1
OtO	Q9Y365	Q9JMD3	1	1
OtO	Q9Y366	Q62559	1	1
OtO	Q9Y371	Q9JK48	1	1
OtO	Q9Y375	Q9CWX2	1	1
OtO	Q9Y376	Q06138	1	1
OtO	Q9Y383	Q7TNC4	1	1
OtO	Q9Y385	Q9JJZ4	1	1
OtO	Q9Y388	Q8R0F5	1	1
OtO	Q9Y394	Q9CXR1	1	1
OtO	Q9Y397	P59268	1	1
OtO	Q9Y399	Q924T2	1	1
OtO	Q9Y3A0	Q8BGB8	1	1
OtO	Q9Y3A2	Q9CZJ1	1	1
OtO	Q9Y3A3	Q6PEB6	1	1
OtO	Q9Y3A4	Q9D1C9	1	1
OtO	Q9Y3A5	P70122	1	1
OtO	Q9Y3A6	Q9CXE7	1	1
OtO	Q9Y3B1	Q9CYY7	1	1
OtO	Q9Y3B2	Q9DAA6	1	1
OtO	Q9Y3B3	D3YZZ5	1	1
OtO	Q9Y3B4	P59708	1	1
OtO	Q9Y3B6	Q9DB76	1	1
OtO	Q9Y3B7	Q9CQF0	1	1
OtO	Q9Y3B8	Q9D8S4	1	1
OtO	Q9Y3B9	Q9CYX7	1	1
OtO	Q9Y3C0	Q9CR27	1	1
OtO	Q9Y3C1	Q9CPT5	1	1
OtO	Q9Y3C4	Q8QZZ7	1	1
OtO	Q9Y3C5	Q9QYK7	1	1
OtO	Q9Y3C6	Q9D0W5	1	1
OtO	Q9Y3C7	Q9CXU1	1	1
OtO	Q9Y3C8	Q9CR09	1	1
OtO	Q9Y3D0	Q9D187	1	1
OtO	Q9Y3D2	Q78J03	1	1
OtO	Q9Y3D3	Q9CPX7	1	1
OtO	Q9Y3D5	Q8R2L5	1	1
OtO	Q9Y3D6	Q9CQ92	1	1
OtO	Q9Y3D7	Q9CQV1	1	1
OtO	Q9Y3D8	Q8VCP8	1	1
OtO	Q9Y3D9	Q8VE22	1	1
OtO	Q9Y3E0	Q9CR60	1	1
OtO	Q9Y3E1	Q9JMG7	1	1
OtO	Q9Y3E2	Q9D8S9	1	1
OtO	Q9Y3E5	Q8R2Y8	1	1
OtO	Q9Y3E7	Q9CQ10	1	1
OtO	Q9Y3F4	Q9Z1Z2	1	1
OtO	Q9Y3I0	Q99LF4	1	1
OtO	Q9Y3I1	Q3U7U3	1	1
OtO	Q9Y3L5	Q8BU31	1	1
OtO	Q9Y3M2	Q9D1C2	1	1
OtO	Q9Y3M8	Q923Q2	1	1
OtO	Q9Y3P4	Q8BP97	1	1
OtO	Q9Y3P8	Q8C503	1	1
OtO	Q9Y3P9	A2AWA9	1	1
OtO	Q9Y3Q0	Q9CZR2	1	1
OtO	Q9Y3Q3	Q78IS1	1	1
OtO	Q9Y3Q4	O70507	1	1
OtO	Q9Y3Q7	Q9R157	3	1
OtO	Q9Y3Q8	Q9EQN3	1	1
OtO	Q9Y3R0	Q925T6	1	1
OtO	Q9Y3R4	Q9JMH3	1	1
OtO	Q9Y3R5	Q3UHQ6	1	1
OtO	Q9Y3S1	Q3UH66	1	1
OtO	Q9Y3S2	Q922H9	1	1
OtO	Q9Y3T6	Q8BSI6	1	1
OtO	Q9Y3T9	Q9WV70	1	1
OtO	Q9Y3V2	Q8VIL2	1	1
OtO	Q9Y3X0	Q8VC31	1	1
OtO	Q9Y3Y2	Q9CY57	1	1
OtO	Q9Y3Y4	Q9D0P5	1	1
OtO	Q9Y3Z3	Q60710	1	1
OtO	Q9Y421	Q9CR80	1	1
OtO	Q9Y426	E9Q3C1	1	1
OtO	Q9Y446	Q9QY23	1	1
OtO	Q9Y448	Q9D9Z1	1	1
OtO	Q9Y450	Q69ZS7	1	1
OtO	Q9Y458	Q8K402	1	1
OtO	Q9Y462	A2ANX9	1	1
OtO	Q9Y463	Q9Z188	1	1
OtO	Q9Y466	Q64104	1	1
OtO	Q9Y467	Q9QX96	1	1
OtO	Q9Y468	A2A5N8	8	1
OtO	Q9Y471	Q61419	1	1
OtO	Q9Y478	Q9R078	1	1
OtO	Q9Y483	Q02395	1	1
OtO	Q9Y484	Q91VM3	1	1
OtO	Q9Y485	Q6PNC0	1	1
OtO	Q9Y487	P15920	1	1
OtO	Q9Y490	P26039	1	1
OtO	Q9Y493	O88799	10	1
OtO	Q9Y496	P28741	1	1
OtO	Q9Y4A0	B2RRL2	1	1
OtO	Q9Y4A5	Q80YV3	1	1
OtO	Q9Y4A8	Q9WTM4	1	1
OtO	Q9Y4B4	Q99NG0	1	1
OtO	Q9Y4B5	Q3UHU5	1	1
OtO	Q9Y4B6	Q80TR8	1	1
OtO	Q9Y4C0	Q6P9K9	1	1
OtO	Q9Y4C1	Q6PCM1	1	1
OtO	Q9Y4C2	Q8BNE1	3	1
OtO	Q9Y4C4	Q3V1N1	1	1
OtO	Q9Y4C5	Q80WV3	1	1
OtO	Q9Y4C8	Q8R3C6	1	1
OtO	Q9Y4D1	Q8BPM0	1	1
OtO	Q9Y4D2	Q6WQJ1	1	1
OtO	Q9Y4D7	Q3UH93	1	1
OtO	Q9Y4D8	E9Q2E4	1	1
OtO	Q9Y4E5	Q8C0P7	1	1
OtO	Q9Y4E6	Q920I9	1	1
OtO	Q9Y4E8	Q8R5H1	1	1
OtO	Q9Y4F1	F8VPU2	1	1
OtO	Q9Y4F3	Q8BJ34	1	1
OtO	Q9Y4F4	Q6A070	1	1
OtO	Q9Y4F5	Q80U49	1	1
OtO	Q9Y4F9	Q80U16	1	1
OtO	Q9Y4G2	Q7TSI1	1	1
OtO	Q9Y4G6	Q71LX4	1	1
OtO	Q9Y4G8	Q8CHG7	1	1
OtO	Q9Y4H2	P81122	1	1
OtO	Q9Y4H4	Q3U1Z5	1	1
OtO	Q9Y4I1	Q99104	1	1
OtO	Q9Y4I5	Q9WTJ6	1	1
OtO	Q9Y4J8	Q9D2N4	1	1
OtO	Q9Y4K0	P58022	1	1
OtO	Q9Y4K1	A0A0G2JG52	1	1
OtO	Q9Y4K3	P70196	1	1
OtO	Q9Y4K4	Q8BPM2	1	1
OtO	Q9Y4L1	Q9JKR6	1	1
OtO	Q9Y4L5	Q9D0C1	1	1
OtO	Q9Y4P1	Q8BGE6	1	1
OtO	Q9Y4P3	Q9R099	1	1
OtO	Q9Y4P8	Q80W47	1	1
OtO	Q9Y4P9	Q99JL1	1	1
OtO	Q9Y4R7	A4Q9E5	1	1
OtO	Q9Y4R8	Q9DC40	1	1
OtO	Q9Y4U1	Q9CZD0	1	1
OtO	Q9Y4W2	A2BE28	1	1
OtO	Q9Y4W6	Q8JZQ2	1	1
OtO	Q9Y4X0	Q9JHT5	1	1
OtO	Q9Y4X3	Q9Z1X0	1	1
OtO	Q9Y4X4	O35738	1	1
OtO	Q9Y4X5	Q9Z1K5	1	1
OtO	Q9Y4Y9	P62322	1	1
OtO	Q9Y4Z0	Q9QXA5	1	1
OtO	Q9Y4Z2	P70661	2	1
OtO	Q9Y508	Q9ET26	1	1
OtO	Q9Y512	Q8BGH2	1	1
OtO	Q9Y519	Q8BG09	1	1
OtO	Q9Y520	Q3TLH4	1	1
OtO	Q9Y530	Q8R5F3	1	1
OtO	Q9Y534	Q91YQ3	1	1
OtO	Q9Y535	Q9D2C6	1	1
OtO	Q9Y543	O54792	1	1
OtO	Q9Y546	Q8R2U7	1	1
OtO	Q9Y547	Q9D6H2	1	1
OtO	Q9Y548	Q91VU1	1	1
OtO	Q9Y561	Q8BUJ9	1	1
OtO	Q9Y566	D3YZU1	1	1
OtO	Q9Y570	Q8BVQ5	1	1
OtO	Q9Y572	Q9QZL0	1	1
OtO	Q9Y573	P28575	1	1
OtO	Q9Y574	Q9WV71	1	1
OtO	Q9Y575	Q9WV72	1	1
OtO	Q9Y576	Q9WV74	1	1
OtO	Q9Y577	Q7TPM3	1	1
OtO	Q9Y580	Q9CQT2	1	1
OtO	Q9Y581	Q9QY05	1	1
OtO	Q9Y584	Q9CQ85	1	1
OtO	Q9Y586	Q8BPP1	1	1
OtO	Q9Y587	Q9WVL1	1	1
OtO	Q9Y592	Q9D5R3	2	1
OtO	Q9Y597	Q8BFX3	1	1
OtO	Q9Y5A6	Q07231	1	1
OtO	Q9Y5A7	P54729	1	1
OtO	Q9Y5A9	Q91YT7	1	1
OtO	Q9Y5B0	Q7TSG2	1	1
OtO	Q9Y5B6	P58501	1	1
OtO	Q9Y5B8	Q9QXL8	1	1
OtO	Q9Y5B9	Q920B9	1	1
OtO	Q9Y5C1	Q9R182	1	1
OtO	Q9Y5E2	Q91Y04	7	1
OtO	Q9Y5E3	Q91Y06	17	1
OtO	Q9Y5E8	Q91XZ8	3	1
OtO	Q9Y5E9	Q91XZ9	1	1
OtO	Q9Y5F3	Q91Y08	1	1
OtO	Q9Y5F6	Q91XW9	1	1
OtO	Q9Y5F7	Q91XX0	1	1
OtO	Q9Y5F8	Q91XX3	2	1
OtO	Q9Y5F9	Q91XX4	1	1
OtO	Q9Y5G2	Q91XX7	1	1
OtO	Q9Y5G3	Q91XX8	1	1
OtO	Q9Y5G4	Q91XX9	2	1
OtO	Q9Y5G5	Q91XY0	4	1
OtO	Q9Y5G6	Q6DD96	1	1
OtO	Q9Y5G7	Q91XY2	22	1
OtO	Q9Y5G8	Q91XY3	9	1
OtO	Q9Y5G9	Q91XY4	4	1
OtO	Q9Y5H0	Q91XY5	1	1
OtO	Q9Y5H1	Q91XY6	1	1
OtO	Q9Y5H2	Q91XY8	1	1
OtO	Q9Y5H3	Q91XY9	1	1
OtO	Q9Y5H7	Q91Y15	10	1
OtO	Q9Y5H8	Q91Y16	6	1
OtO	Q9Y5H9	Q91Y17	1	1
OtO	Q9Y5I0	Q91Y18	4	1
OtO	Q9Y5I1	Q91Y19	4	1
OtO	Q9Y5I2	Q91Y11	10	1
OtO	Q9Y5I3	Q91Y21	8	1
OtO	Q9Y5I4	Q91Y09	1	1
OtO	Q9Y5I7	Q925N4	1	1
OtO	Q9Y5J1	Q5SSI6	1	1
OtO	Q9Y5J3	Q9WV93	1	1
OtO	Q9Y5J5	Q9WV95	1	1
OtO	Q9Y5J6	Q9WV96	1	1
OtO	Q9Y5J7	Q9WV98	1	1
OtO	Q9Y5J9	P62077	1	1
OtO	Q9Y5K1	Q9WTK8	1	1
OtO	Q9Y5K2	Q9Z0M1	1	1
OtO	Q9Y5K3	Q811Q9	1	1
OtO	Q9Y5K5	Q9WUP7	1	1
OtO	Q9Y5K6	Q9JLQ0	1	1
OtO	Q9Y5K8	P57746	1	1
OtO	Q9Y5L0	Q6P2B1	1	1
OtO	Q9Y5L2	Q9JLS0	1	1
OtO	Q9Y5L3	O55026	1	1
OtO	Q9Y5L4	P62075	1	1
OtO	Q9Y5L5	Q9WVB6	1	1
OtO	Q9Y5M8	P47758	1	1
OtO	Q9Y5N1	P58406	1	1
OtO	Q9Y5N5	Q6SKR2	1	1
OtO	Q9Y5N6	Q9WUJ8	1	1
OtO	Q9Y5P3	Q9QVY8	1	1
OtO	Q9Y5P4	Q9EQG9	1	1
OtO	Q9Y5P6	Q8BTZ7	1	1
OtO	Q9Y5Q0	Q9JJE7	1	1
OtO	Q9Y5Q3	P54841	1	1
OtO	Q9Y5Q5	Q9Z319	1	1
OtO	Q9Y5Q6	Q9WUG6	1	1
OtO	Q9Y5Q8	Q8R2T8	1	1
OtO	Q9Y5Q9	Q3TMP1	1	1
OtO	Q9Y5R2	Q9R0S2	1	1
OtO	Q9Y5R4	Q921L7	1	1
OtO	Q9Y5R5	Q8BG36	1	1
OtO	Q9Y5R6	Q9QZ59	1	1
OtO	Q9Y5R8	Q5NCF2	1	1
OtO	Q9Y5S1	Q9WTR1	1	1
OtO	Q9Y5S2	Q7TT50	1	1
OtO	Q9Y5S8	Q8CIZ9	2	1
OtO	Q9Y5S9	Q9CWZ3	1	1
OtO	Q9Y5T4	Q78YY6	1	1
OtO	Q9Y5T5	Q99LG0	1	1
OtO	Q9Y5U2	Q9JHE7	1	1
OtO	Q9Y5U4	Q91WG1	1	1
OtO	Q9Y5U5	O35714	2	1
OtO	Q9Y5U8	P63030	1	1
OtO	Q9Y5U9	Q9CR20	1	1
OtO	Q9Y5V0	Q9D115	1	1
OtO	Q9Y5V3	Q9QYH6	1	1
OtO	Q9Y5W3	Q60843	1	1
OtO	Q9Y5W5	Q9WUA1	1	1
OtO	Q9Y5W7	Q8BHY8	1	1
OtO	Q9Y5W8	Q6PHS6	1	1
OtO	Q9Y5W9	Q91WL6	1	1
OtO	Q9Y5X0	Q9CWT3	1	1
OtO	Q9Y5X1	Q91VH2	1	1
OtO	Q9Y5X2	Q8CFD4	1	1
OtO	Q9Y5X3	Q9D8U8	1	1
OtO	Q9Y5X4	Q9QXZ7	1	1
OtO	Q9Y5X5	Q924H0	1	1
OtO	Q9Y5X9	Q9WVG5	1	1
OtO	Q9Y5Y0	B2RXV4	1	1
OtO	Q9Y5Y2	Q9R061	1	1
OtO	Q9Y5Y3	Q9EQQ4	1	1
OtO	Q9Y5Y4	Q9Z2J6	1	1
OtO	Q9Y5Y5	Q91XC9	1	1
OtO	Q9Y5Y6	P56677	1	1
OtO	Q9Y5Y7	Q8BHC0	1	1
OtO	Q9Y5Y9	Q6QIY3	1	1
OtO	Q9Y5Z0	Q9JL18	1	1
OtO	Q9Y5Z4	Q9WU63	1	1
OtO	Q9Y5Z6	O54904	1	1
OtO	Q9Y5Z7	Q9D968	1	1
OtO	Q9Y5Z9	Q9DC60	1	1
OtO	Q9Y600	Q9DBE0	1	1
OtO	Q9Y606	Q9WU56	1	1
OtO	Q9Y608	Q91WK0	1	1
OtO	Q9Y613	Q6P9Q4	1	1
OtO	Q9Y614	Q9QY83	1	1
OtO	Q9Y615	Q9QY84	1	1
OtO	Q9Y616	Q8K4B2	1	1
OtO	Q9Y617	Q99K85	1	1
OtO	Q9Y618	Q9WU42	1	1
OtO	Q9Y619	Q9WVD5	1	1
OtO	Q9Y620	Q6PFE3	1	1
OtO	Q9Y623	Q5SX39	4	1
OtO	Q9Y624	O88792	1	1
OtO	Q9Y625	Q9R087	1	1
OtO	Q9Y639	P97300	1	1
OtO	Q9Y644	O09009	1	1
OtO	Q9Y646	Q9WVJ3	1	1
OtO	Q9Y651	Q811W0	1	1
OtO	Q9Y653	Q8K209	1	1
OtO	Q9Y657	Q61142	1	1
OtO	Q9Y661	D3YVV6	1	1
OtO	Q9Y662	Q9QZS6	1	1
OtO	Q9Y663	Q8BKN6	1	1
OtO	Q9Y664	Q8VCX6	1	1
OtO	Q9Y666	Q9WVL3	1	1
OtO	Q9Y672	Q3TAE8	1	1
OtO	Q9Y673	Q9DB25	1	1
OtO	Q9Y675	Q9WU12	1	1
OtO	Q9Y676	Q99N84	1	1
OtO	Q9Y678	Q9QZE5	1	1
OtO	Q9Y679	P70295	1	1
OtO	Q9Y680	O54998	1	1
OtO	Q9Y689	Q80ZU0	1	1
OtO	Q9Y691	Q9CZM9	1	1
OtO	Q9Y692	Q9JL60	1	1
OtO	Q9Y693	Q8BM86	1	1
OtO	Q9Y694	Q91WU2	1	1
OtO	Q9Y696	Q9QYB1	1	1
OtO	Q9Y697	Q9Z1J3	1	1
OtO	Q9Y698	O88602	1	1
OtO	Q9Y6A1	Q8R2R1	1	1
OtO	Q9Y6A2	Q9WVK8	1	1
OtO	Q9Y6A4	Q8BTU1	1	1
OtO	Q9Y6A5	Q9JJ11	153	1
OtO	Q9Y6A9	Q9D958	1	1
OtO	Q9Y6B2	Q9DCR4	1	1
OtO	Q9Y6B6	Q9CQC9	1	1
OtO	Q9Y6B7	Q9WV76	1	1
OtO	Q9Y6C2	Q99K41	1	1
OtO	Q9Y6C5	O35595	1	1
OtO	Q9Y6C9	Q791V5	1	1
OtO	Q9Y6D0	Q9JLJ1	1	1
OtO	Q9Y6D5	A2A5R2	1	1
OtO	Q9Y6D6	G3X9K3	1	1
OtO	Q9Y6D9	Q9WTX8	1	1
OtO	Q9Y6E0	Q99KH8	1	1
OtO	Q9Y6E2	Q91VK1	1	1
OtO	Q9Y6E7	Q8R216	1	1
OtO	Q9Y6F1	Q3ULW8	1	1
OtO	Q9Y6F6	Q9WUX5	1	1
OtO	Q9Y6F9	P22727	1	1
OtO	Q9Y6G1	P56983	1	1
OtO	Q9Y6G3	Q9CPV3	1	1
OtO	Q9Y6G5	Q8JZY2	1	1
OtO	Q9Y6G9	Q8R1Q8	1	1
OtO	Q9Y6H1	Q9D1L0	1	1
OtO	Q9Y6H3	Q9CWQ3	760	1
OtO	Q9Y6H5	Q99ME3	1	1
OtO	Q9Y6H6	Q9WTW2	1	1
OtO	Q9Y6H8	Q64448	1	1
